,Unnamed: 0,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!Population 20 to 64 years,NCESDist,year,School District Type
48,49,147294,115459,63.0,75.3,3.9,4.0,616740,2016,Unified
49,50,108666,71798,41.3,55.9,13.6,12.5,616920,2016,Unified
50,51,94086,73446,59.6,71.6,8.8,7.1,618390,2016,Unified
51,52,80149,64172,57.6,68.7,8.6,8.1,619260,2016,Unified
52,53,53372,36980,63.0,78.8,2.7,2.1,621000,2016,Unified
53,54,77959,61438,68.4,81.6,3.5,3.1,622110,2016,Unified
54,55,130833,96014,56.2,69.7,7.9,7.3,622230,2016,Unified
55,56,409425,325094,62.1,73.6,6.6,6.2,622500,2016,Unified
56,57,3840920,3024387,61.0,72.5,6.9,6.4,622710,2016,Unified
57,58,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,623080,2016,Unified
58,59,51397,41345,59.2,71.8,7.9,6.2,623160,2016,Unified
59,60,65575,50732,52.6,64.3,12.6,11.6,623340,2016,Unified
60,61,100477,79178,54.4,65.3,10.1,9.7,623610,2016,Unified
61,62,60932,49388,63.6,76.0,3.0,3.1,624500,2016,Unified
62,63,131472,98281,55.6,70.1,8.0,7.3,625470,2016,Unified
63,64,70994,52900,56.4,68.8,3.9,3.3,625530,2016,Unified
64,65,132313,108544,58.4,67.6,10.0,9.2,625800,2016,Unified
65,66,52103,38197,64.3,78.0,3.7,3.8,625830,2016,Unified
66,67,55966,42344,40.9,49.9,11.1,9.9,625860,2016,Unified
67,68,217519,165185,62.2,75.8,5.5,5.1,626370,2016,Unified
68,69,98493,70514,63.6,79.3,4.7,4.7,626640,2016,Unified
69,70,67141,53327,62.1,74.4,4.8,4.9,626910,2016,Unified
70,71,164625,126187,65.9,78.2,3.1,2.9,627240,2016,Unified
71,72,100237,75490,55.8,68.9,6.7,5.9,627690,2016,Unified
72,73,346209,276396,64.4,76.1,6.3,5.9,628050,2016,Unified
73,74,112434,86482,56.5,68.3,5.2,4.9,628250,2016,Unified
74,75,180915,137228,63.6,75.0,4.9,4.7,628650,2016,Unified
75,76,96071,73179,62.0,74.1,6.6,5.8,629490,2016,Unified
76,77,141103,91385,49.1,66.9,8.5,8.6,629550,2016,Unified
77,78,71982,48024,54.8,71.3,4.4,4.0,629610,2016,Unified
78,79,58794,46193,59.9,72.3,6.9,5.5,629850,2016,Unified
79,80,176299,133896,61.1,74.3,4.7,4.5,629940,2016,Unified
80,81,127616,94078,63.4,77.4,4.7,4.7,630660,2016,Unified
81,82,131721,104562,61.2,71.6,8.3,7.3,631320,2016,Unified
82,83,156916,119512,62.2,76.0,5.2,5.0,631530,2016,Unified
83,84,103943,77200,54.1,65.6,6.5,6.4,632070,2016,Unified
84,85,91027,70429,56.3,67.9,10.9,10.0,632370,2016,Unified
85,86,204805,158794,60.6,73.2,7.4,7.1,632550,2016,Unified
86,87,209298,159425,55.6,67.0,8.8,7.9,633150,2016,Unified
87,88,90610,68953,58.0,71.1,4.8,4.9,633750,2016,Unified
88,89,274142,209849,57.1,69.6,8.0,7.9,633840,2016,Unified
89,90,185227,134615,64.8,80.7,3.6,3.2,633860,2016,Unified
90,91,188168,149504,51.3,60.3,11.4,10.4,634170,2016,Unified
91,92,913140,722804,60.8,71.7,5.8,5.4,634320,2016,Unified
92,93,763084,609870,67.0,79.4,4.5,4.4,634410,2016,Unified
93,94,220286,174843,64.5,75.4,5.0,4.9,634590,2016,Unified
94,95,275367,202595,57.2,70.9,6.6,6.8,634620,2016,Unified
95,96,60763,45826,61.1,73.9,3.7,3.9,634680,2016,Unified
96,97,66364,51296,57.4,71.1,3.8,3.4,634710,2016,Unified
97,98,86620,59503,52.7,67.4,5.0,3.4,634800,2016,Unified
98,99,98683,75310,62.7,75.7,6.3,6.2,634880,2016,Unified
99,100,114947,84259,62.9,77.6,3.1,3.2,635130,2016,Unified
100,101,203467,165953,63.8,74.2,5.8,5.2,635310,2016,Unified
101,102,136476,111351,66.3,76.1,4.6,4.4,635430,2016,Unified
102,103,96195,71723,63.4,76.8,5.8,6.0,635700,2016,Unified
103,104,104813,79196,67.0,81.9,3.8,3.5,636840,2016,Unified
104,105,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,637530,2016,Unified
105,106,160180,123391,51.5,62.6,12.1,11.5,638010,2016,Unified
106,107,119717,91008,61.7,75.2,4.9,4.8,639420,2016,Unified
107,108,108180,84467,66.5,78.5,4.9,3.9,640150,2016,Unified
108,109,65562,48504,61.3,76.0,3.6,3.7,640590,2016,Unified
109,110,101111,76769,57.3,69.2,10.6,10.4,640740,2016,Unified
110,111,100434,75026,60.0,73.6,4.9,5.0,640980,2016,Unified
111,112,105964,79810,54.8,65.8,5.1,4.4,641160,2016,Unified
112,113,120959,93169,60.3,72.3,3.5,2.8,641190,2016,Unified
113,114,50254,39693,58.8,69.8,6.3,5.6,643080,2016,Unified
114,115,57114,42073,53.6,67.2,8.6,8.5,643470,2016,Unified
115,116,190354,146391,59.4,70.5,5.8,5.4,684500,2016,Unified
116,117,61066,46370,54.0,66.1,5.9,5.1,691135,2016,Unified
0,1,94609,72877,61.2,74.1,6.8,6.6,602310,2016,Elementary
1,2,161824,131073,63.9,74.4,5.5,5.2,602610,2016,Elementary
2,3,135056,104300,51.2,60.8,13.1,12.6,603630,2016,Elementary
3,4,68849,53950,62.2,74.4,6.8,6.6,604800,2016,Elementary
4,5,78600,61660,64.2,76.7,3.9,3.6,605580,2016,Elementary
5,6,93404,73507,60.2,71.7,7.0,7.2,606390,2016,Elementary
6,7,135574,103385,55.8,67.0,8.8,8.8,606810,2016,Elementary
7,8,84547,67719,65.5,78.0,3.8,3.9,607200,2016,Elementary
8,9,241767,185621,57.2,69.9,9.6,8.5,608610,2016,Elementary
9,10,113102,85730,60.0,73.4,3.7,3.7,610290,2016,Elementary
10,11,56885,44785,58.8,70.0,6.6,6.1,611850,2016,Elementary
11,12,70873,52959,54.5,68.7,5.4,5.3,612090,2016,Elementary
12,13,59827,43325,64.0,77.3,3.0,2.8,612750,2016,Elementary
13,14,132981,104710,63.9,74.7,6.0,5.8,612880,2016,Elementary
14,15,75447,61290,61.3,70.0,4.9,4.7,612960,2016,Elementary
15,16,80886,58157,60.9,77.2,5.0,4.5,613140,2016,Elementary
16,17,55142,39488,40.5,49.1,2.1,2.2,613500,2016,Elementary
17,18,76071,60335,61.9,72.2,7.1,7.1,614370,2016,Elementary
18,19,97765,74442,60.9,73.4,6.7,6.3,614730,2016,Elementary
19,20,68733,47060,57.1,72.0,9.5,6.0,615510,2016,Elementary
20,21,57771,48383,65.8,75.8,5.7,5.7,616680,2016,Elementary
21,22,71164,51979,63.1,79.2,2.4,2.2,618030,2016,Elementary
22,23,78390,60117,65.6,78.3,6.0,6.4,618870,2016,Elementary
23,24,110199,85135,58.6,71.7,8.0,8.2,620250,2016,Elementary
24,25,92528,72556,48.1,56.5,6.2,6.2,620880,2016,Elementary
25,26,47539,38437,59.4,70.4,6.1,6.4,623430,2016,Elementary
26,27,69912,47524,51.3,68.2,7.5,5.1,624540,2016,Elementary
27,28,66490,50611,50.2,61.6,14.9,12.7,624600,2016,Elementary
28,29,86082,66370,51.1,62.5,12.2,12.1,625130,2016,Elementary
29,30,55667,45838,68.3,79.3,3.7,3.6,626280,2016,Elementary
30,31,60408,43952,60.4,74.1,7.8,7.8,627180,2016,Elementary
31,32,86808,70407,68.7,79.4,5.1,5.0,627810,2016,Elementary
32,33,95250,74986,51.1,61.4,9.3,8.5,629580,2016,Elementary
33,34,82822,62155,63.5,77.4,5.3,5.3,628140,2016,Elementary
34,35,133468,108055,58.0,67.4,10.1,9.3,628470,2016,Elementary
35,36,96238,74235,62.6,76.1,6.5,6.0,629220,2016,Elementary
36,37,65078,44229,60.3,78.1,3.7,3.0,630990,2016,Elementary
37,38,85170,69133,68.8,79.0,2.4,2.0,632130,2016,Elementary
38,39,75263,55151,58.1,73.3,5.1,4.6,633600,2016,Elementary
39,40,57700,45468,62.1,72.9,4.5,4.4,633930,2016,Elementary
40,41,112664,85951,67.7,82.1,2.2,2.0,634920,2016,Elementary
41,42,59126,41080,56.8,71.5,8.7,6.0,635590,2016,Elementary
42,43,61410,47525,63.3,72.8,6.3,7.0,635810,2016,Elementary
43,44,85551,68880,66.8,77.1,5.5,5.1,635970,2016,Elementary
44,45,68587,52245,52.4,64.5,13.9,13.1,637380,2016,Elementary
45,46,49169,38665,64.1,76.0,6.2,5.8,638220,2016,Elementary
46,47,76665,63552,69.5,80.0,3.9,3.8,638460,2016,Elementary
47,48,60926,45997,58.1,72.3,8.3,7.7,638670,2016,Elementary
48,49,73616,56454,47.2,57.8,16.2,15.6,641040,2016,Elementary
49,50,53786,42318,51.7,62.3,6.8,5.9,642120,2016,Elementary
50,51,67232,50362,57.1,71.5,5.5,5.7,642150,2016,Elementary
51,52,53140,40146,60.3,74.1,5.5,5.5,642450,2016,Elementary
0,1,100100,65530,59.5,78.9,3.4,2.0,601650,2016,Secondary
1,2,319085,248541,61.4,74.0,5.3,5.0,602630,2016,Secondary
2,3,287277,224249,49.5,59.5,7.9,7.4,602820,2016,Secondary
3,4,87007,57115,56.3,72.6,8.9,5.9,606019,2016,Secondary
4,5,69912,47524,51.3,68.2,7.5,5.1,606034,2016,Secondary
5,6,180987,144432,65.6,77.8,3.1,3.1,607230,2016,Secondary
6,7,119432,97565,65.0,75.7,5.6,5.7,607920,2016,Secondary
7,8,325335,260795,60.4,70.3,8.0,7.3,608160,2016,Secondary
8,9,51366,41758,41.0,47.6,16.1,16.0,610860,2016,Secondary
9,10,440448,344261,63.6,75.8,6.2,6.0,611820,2016,Secondary
10,11,115181,79678,52.1,67.9,5.3,5.2,612070,2016,Secondary
11,12,136261,102987,55.4,69.0,6.6,6.3,612120,2016,Secondary
12,13,135411,106438,63.6,74.5,5.9,5.7,612910,2016,Secondary
13,14,57342,40993,40.9,49.9,2.2,2.2,613530,2016,Secondary
14,15,189767,149282,63.8,76.2,3.8,3.7,614430,2016,Secondary
15,16,207526,158861,60.3,72.7,7.0,6.4,614760,2016,Secondary
16,17,384432,293732,58.0,70.1,7.4,7.4,616230,2016,Secondary
17,18,54727,41566,56.4,67.9,6.9,7.1,616500,2016,Secondary
18,19,269197,198561,60.7,76.0,4.7,4.4,618060,2016,Secondary
19,20,126478,96716,66.6,80.0,5.0,5.2,618930,2016,Secondary
20,21,462944,361985,55.1,65.7,10.4,9.9,619540,2016,Secondary
21,22,93297,69858,58.2,71.6,7.0,5.7,621600,2016,Secondary
22,23,130438,98805,50.7,62.3,14.3,12.7,624660,2016,Secondary
23,24,207535,159023,55.3,67.4,9.9,9.6,625150,2016,Secondary
24,25,91555,71612,64.4,77.8,3.8,3.7,626310,2016,Secondary
25,26,70796,43872,45.4,62.4,5.8,6.0,626880,2016,Secondary
26,27,256886,194096,61.6,75.3,5.2,4.7,629270,2016,Secondary
27,28,63936,44602,59.4,75.0,3.9,3.6,630250,2016,Secondary
28,29,79028,54876,54.6,70.8,5.0,5.1,630750,2016,Secondary
29,30,145536,104631,58.8,75.2,5.0,4.1,633630,2016,Secondary
30,31,134139,105340,62.3,73.4,3.5,3.4,633980,2016,Secondary
31,32,140164,100848,62.5,76.8,3.4,3.3,634380,2016,Secondary
32,33,116290,89563,63.6,76.5,4.6,4.4,635670,2016,Secondary
33,34,198179,150643,66.7,81.4,2.7,2.5,634980,2016,Secondary
34,35,60249,43290,56.6,69.0,5.8,6.4,635110,2016,Secondary
35,36,82371,58377,57.0,70.2,6.7,4.8,635600,2016,Secondary
36,37,177246,130747,62.7,75.4,5.6,5.5,635830,2016,Secondary
37,38,205226,158417,67.2,79.7,3.2,3.1,636390,2016,Secondary
38,39,85090,58273,50.4,64.8,6.0,5.5,636600,2016,Secondary
39,40,119572,93484,46.4,56.0,13.4,12.6,636972,2016,Secondary
40,41,391423,302625,54.8,66.6,10.0,9.0,638640,2016,Secondary
41,42,97603,65278,62.5,76.4,4.3,4.2,638790,2016,Secondary
42,43,61209,46971,54.5,65.0,7.4,7.2,639930,2016,Secondary
43,44,175273,134590,58.5,71.3,5.3,5.0,642480,2016,Secondary
44,45,217047,169739,62.6,73.8,6.2,5.9,642510,2016,Secondary
