,Unnamed: 0,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!Population 20 to 64 years,NCESDist,year,School District Type
106,107,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,637530,2017,Unified
107,108,156327,119729,52.8,64.8,7.1,6.4,638010,2017,Unified
108,109,120535,88316,59.0,74.9,5.0,5.2,639420,2017,Unified
109,110,111766,85832,65.6,78.7,2.6,2.1,640150,2017,Unified
110,111,68475,50726,58.5,71.6,4.1,3.8,640590,2017,Unified
111,112,100578,75673,57.7,70.4,9.5,8.7,640740,2017,Unified
112,113,98358,72716,60.3,74.7,6.3,6.3,640980,2017,Unified
113,114,113444,88294,60.7,71.6,5.8,5.5,641160,2017,Unified
114,115,124276,95392,63.3,75.5,4.8,4.3,641190,2017,Unified
115,116,49504,38569,62.5,75.9,3.6,3.1,643080,2017,Unified
116,117,59048,43620,49.7,62.3,7.6,6.6,643470,2017,Unified
117,118,193438,155000,60.3,70.2,4.3,4.1,684500,2017,Unified
118,119,72651,57404,55.7,67.8,10.8,10.5,691135,2017,Unified
0,1,91208,68829,63.0,76.7,4.3,4.1,602310,2017,Elementary
1,2,159220,128711,62.6,72.6,6.1,5.3,602610,2017,Elementary
2,3,138323,105055,50.9,61.7,12.2,10.3,603630,2017,Elementary
3,4,66868,50046,61.7,76.9,5.2,5.0,604800,2017,Elementary
4,5,78914,62794,63.3,73.7,4.6,4.6,605580,2017,Elementary
5,6,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,605910,2017,Elementary
6,7,103262,79741,58.4,71.3,6.5,6.3,606390,2017,Elementary
7,8,133016,102113,61.1,73.0,5.8,5.5,606810,2017,Elementary
8,9,78809,63162,69.0,80.4,2.4,2.1,607200,2017,Elementary
9,10,245086,186727,56.1,70.3,9.9,7.9,608610,2017,Elementary
10,11,118184,89246,62.1,76.8,3.7,3.8,610290,2017,Elementary
11,12,54905,40168,60.5,76.6,2.9,2.9,611850,2017,Elementary
12,13,66372,50133,58.2,72.6,4.2,3.9,612090,2017,Elementary
13,14,60354,42390,61.6,77.1,4.8,4.4,612750,2017,Elementary
14,15,132222,101630,63.4,76.8,3.7,3.5,612880,2017,Elementary
15,16,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,612960,2017,Elementary
16,17,80846,61040,61.6,75.4,6.4,6.7,613140,2017,Elementary
17,18,52559,37164,38.2,47.2,6.3,6.3,613500,2017,Elementary
18,19,75516,57833,63.6,77.2,3.1,3.0,614370,2017,Elementary
19,20,99770,75184,60.3,73.3,6.7,6.2,614730,2017,Elementary
20,21,71578,49158,57.4,69.6,8.7,8.0,615510,2017,Elementary
21,22,58978,48342,64.9,75.8,5.5,5.1,616680,2017,Elementary
22,23,66978,47513,61.1,77.1,3.5,3.3,618030,2017,Elementary
23,24,79874,62535,66.5,80.0,4.0,3.0,618870,2017,Elementary
24,25,113079,88240,60.5,71.9,7.2,6.9,620250,2017,Elementary
25,26,83152,66332,52.5,61.6,5.3,4.9,620880,2017,Elementary
26,27,52191,40800,65.2,77.9,4.8,3.9,623430,2017,Elementary
27,28,77263,57799,54.0,67.0,6.5,6.5,624540,2017,Elementary
28,29,63823,48371,47.0,58.9,11.8,10.1,624600,2017,Elementary
29,30,90769,69204,54.3,65.8,8.9,7.6,625130,2017,Elementary
30,31,60789,50216,72.9,82.5,3.0,3.1,626280,2017,Elementary
31,32,52613,38714,63.3,77.4,4.1,4.1,627180,2017,Elementary
32,33,93620,76789,67.9,78.6,5.1,4.4,627810,2017,Elementary
33,34,86181,63981,65.9,80.4,4.2,3.9,628140,2017,Elementary
34,35,140699,110245,58.8,70.2,7.4,6.8,628470,2017,Elementary
35,36,100118,77388,62.4,75.0,5.6,5.1,629220,2017,Elementary
36,37,97533,76230,52.0,63.0,8.2,8.2,629580,2017,Elementary
37,38,64893,45488,59.3,75.4,5.9,5.3,630990,2017,Elementary
38,39,85891,67599,69.9,81.6,1.9,1.6,632130,2017,Elementary
39,40,76749,54878,59.1,75.3,3.5,3.3,633600,2017,Elementary
40,41,63857,49905,61.8,73.7,4.6,4.4,633930,2017,Elementary
41,42,111373,83867,67.2,81.5,3.5,3.1,634920,2017,Elementary
42,43,60106,42942,58.5,69.1,9.2,8.5,635590,2017,Elementary
43,44,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,635810,2017,Elementary
44,45,81336,64711,66.3,77.1,4.9,3.8,635970,2017,Elementary
45,46,62341,48207,57.1,69.0,6.5,5.4,637380,2017,Elementary
46,47,52545,41518,62.3,73.2,5.8,6.0,638220,2017,Elementary
47,48,75985,63458,69.9,79.7,4.1,4.1,638460,2017,Elementary
48,49,59747,44055,57.9,73.6,7.1,6.5,638670,2017,Elementary
49,50,43944,35095,59.4,72.1,4.9,4.2,639870,2017,Elementary
50,51,73642,55064,47.4,60.5,16.4,14.6,641040,2017,Elementary
51,52,60018,46370,51.6,61.9,4.3,4.0,642120,2017,Elementary
52,53,67476,49850,57.9,72.8,6.0,6.3,642150,2017,Elementary
53,54,54807,41780,57.8,71.1,3.5,3.1,642450,2017,Elementary
0,1,97561,63029,58.3,77.7,2.7,2.8,601650,2017,Secondary
1,2,318227,246046,60.9,73.5,5.3,4.6,602630,2017,Secondary
2,3,289577,226691,51.1,61.3,6.5,6.3,602820,2017,Secondary
3,4,92779,61782,57.7,72.1,7.4,6.7,606019,2017,Secondary
4,5,77263,57799,54.0,67.0,6.5,6.5,606034,2017,Secondary
5,6,184603,145847,67.7,79.5,3.2,3.1,607230,2017,Secondary
6,7,118543,97457,65.3,75.4,5.6,5.1,607920,2017,Secondary
7,8,330347,262183,62.6,73.7,5.9,5.2,608160,2017,Secondary
8,9,53777,43607,48.2,55.6,14.1,13.8,610860,2017,Secondary
9,10,442231,343077,64.1,77.1,4.7,4.4,611820,2017,Secondary
10,11,120006,82781,51.6,67.0,3.5,3.0,612070,2017,Secondary
11,12,142668,109896,58.6,71.6,4.8,4.4,612120,2017,Secondary
12,13,134458,103064,63.5,76.9,3.6,3.5,612910,2017,Secondary
13,14,55054,38635,39.0,48.3,6.0,6.0,613530,2017,Secondary
14,15,194169,152704,65.2,78.0,3.8,3.9,614430,2017,Secondary
15,16,209471,160835,62.1,74.9,5.9,5.2,614760,2017,Secondary
16,17,382890,293720,60.8,72.6,6.2,5.9,616230,2017,Secondary
17,18,54702,41835,56.9,70.4,6.3,5.8,616500,2017,Secondary
18,19,265794,191345,61.2,76.9,4.3,4.1,618060,2017,Secondary
