,Unnamed: 0,Geography,NAME,Estimate!!Total!!Population 16 years and over,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),"Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",Estimate!!Total!!Population 20 to 64 years,Estimate!!Employment/Population Ratio!!Population 16 years and over,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),"Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",Estimate!!Employment/Population Ratio!!Population 20 to 64 years,Estimate!!Unemployment rate!!Population 16 years and over,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),"Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",Estimate!!Unemployment rate!!Population 20 to 64 years,STATE,SCHOOL DISTRICT (UNIFIED),District,NCESDist,year,SCHOOL DISTRICT (ELEMENTARY),SCHOOL DISTRICT (SECONDARY)
25,26,9700000US0622710,"Los Angeles Unified School District, California",3871485,2042526,363373,31607,470871,-999999999,825141,129420,1869650,1076718,3023252,63.3,64.0,54.0,58.2,61.6,-999999999.0,66.2,65.4,64.9,64.1,75.4,5.3,5.0,8.8,4.2,3.4,-999999999.0,5.7,6.5,5.5,4.7,4.9,6,22710.0,Los Angeles Unified School District,622710,2019,,
26,27,9700000US0600014,"Hesperia Unified School District, California",80008,63844,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,45813,27491,62171,51.9,50.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,56.9,44.3,63.2,6.8,6.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.4,9.6,5.8,6,14.0,Hesperia Unified School District,600014,2019,,
27,28,9700000US0600016,"Upland Unified School District, California",64914,40106,-999999999,-999999999,5805,-999999999,-999999999,-999999999,26088,26266,47629,64.2,62.3,-999999999.0,-999999999.0,65.4,-999999999.0,-999999999.0,-999999999.0,70.9,59.8,78.7,3.9,4.7,-999999999.0,-999999999.0,6.8,-999999999.0,-999999999.0,-999999999.0,4.3,3.7,4.1,6,16.0,Upland Unified School District,600016,2019,,
28,29,9700000US0603690,"Baldwin Park Unified School District, California",58703,31683,-999999999,-999999999,13087,-999999999,8598,-999999999,42840,-999999999,45706,60.7,61.7,-999999999.0,-999999999.0,56.1,-999999999.0,64.5,-999999999.0,62.7,-999999999.0,73.9,6.4,8.3,-999999999.0,-999999999.0,3.3,-999999999.0,5.4,-999999999.0,7.2,-999999999.0,5.8,6,3690.0,Baldwin Park Unified School District,603690,2019,,
29,30,9700000US0629490,"Pajaro Valley Joint Unified School District, California",88116,66050,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,48737,34835,62620,61.4,61.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,68.4,52.6,76.0,5.4,5.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,6.5,3.8,5.5,6,29490.0,Pajaro Valley Joint Unified School District,629490,2019,,
30,31,9700000US0629550,"Palm Springs Unified School District, California",147306,116452,-999999999,-999999999,7181,-999999999,13276,-999999999,56247,75001,95442,49.7,47.1,-999999999.0,-999999999.0,66.5,-999999999.0,65.5,-999999999.0,59.8,41.5,68.0,6.2,5.5,-999999999.0,-999999999.0,0.3,-999999999.0,12.6,-999999999.0,6.0,6.9,5.6,6,29550.0,Palm Springs Unified School District,629550,2019,,
31,32,9700000US0629610,"Palo Alto Unified School District, California",70348,41374,-999999999,-999999999,22298,-999999999,-999999999,-999999999,-999999999,38434,48055,57.9,58.4,-999999999.0,-999999999.0,56.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,58.8,72.8,1.9,1.9,-999999999.0,-999999999.0,1.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,1.9,1.5,6,29610.0,Palo Alto Unified School District,629610,2019,,
32,33,9700000US0629850,"Paramount Unified School District, California",59830,22198,-999999999,-999999999,-999999999,-999999999,26265,-999999999,45445,-999999999,47665,60.3,61.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,63.8,-999999999.0,64.1,-999999999.0,70.3,5.0,2.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,5.0,-999999999.0,4.1,-999999999.0,4.4,6,29850.0,Paramount Unified School District,629850,2019,,
33,34,9700000US0629940,"Pasadena Unified School District, California",175063,93118,15339,-999999999,29301,-999999999,27687,-999999999,50367,73344,133400,63.8,65.2,49.0,-999999999.0,63.5,-999999999.0,66.2,-999999999.0,66.8,64.7,77.1,3.6,2.5,16.8,-999999999.0,2.4,-999999999.0,2.9,-999999999.0,2.5,2.5,3.2,6,29940.0,Pasadena Unified School District,629940,2019,,
34,35,9700000US0630660,"Placentia-Yorba Linda Unified School District, California",131686,96679,-999999999,-999999999,22509,-999999999,-999999999,-999999999,36397,68160,98726,64.9,64.4,-999999999.0,-999999999.0,65.2,-999999999.0,-999999999.0,-999999999.0,66.1,62.8,79.8,3.4,3.5,-999999999.0,-999999999.0,2.7,-999999999.0,-999999999.0,-999999999.0,3.4,3.8,3.2,6,30660.0,Placentia-Yorba Linda Unified School District,630660,2019,,
