,Unnamed: 0,Geography,NAME,Estimate!!Total!!Population 16 years and over,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),"Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",Estimate!!Total!!Population 20 to 64 years,Estimate!!Employment/Population Ratio!!Population 16 years and over,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),"Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",Estimate!!Employment/Population Ratio!!Population 20 to 64 years,Estimate!!Unemployment rate!!Population 16 years and over,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),"Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",Estimate!!Unemployment rate!!Population 20 to 64 years,STATE,SCHOOL DISTRICT (UNIFIED),District,NCESDist,year,SCHOOL DISTRICT (ELEMENTARY),SCHOOL DISTRICT (SECONDARY)
90,91,9700000US0601770,"Alameda City Unified School District, California",63509,29082,-999999999,-999999999,21960,-999999999,-999999999,-999999999,-999999999,26835,47218,64.5,71.0,-999999999.0,-999999999.0,59.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,71.2,80.0,2.9,1.1,-999999999.0,-999999999.0,4.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,1.2,3.2,6,1770.0,Alameda City Unified School District,601770,2019,,
91,92,9700000US0643080,"Woodland Joint Unified School District, California",53090,45344,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,21286,26525,39571,59.2,60.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,66.3,55.9,73.1,4.8,3.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.8,4.2,5.1,6,43080.0,Woodland Joint Unified School District,643080,2019,,
92,93,9700000US0643470,"Yuba City Unified School District, California",59902,39605,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,17148,26790,43599,56.1,58.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,64.5,54.0,70.7,5.3,5.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.5,5.0,3.8,6,43470.0,Yuba City Unified School District,643470,2019,,
93,94,9700000US0684500,"Irvine Unified School District, California",209759,105854,-999999999,-999999999,85651,-999999999,-999999999,-999999999,-999999999,90843,163907,62.4,64.0,-999999999.0,-999999999.0,60.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,62.9,73.4,3.9,3.9,-999999999.0,-999999999.0,3.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.4,3.7,6,84500.0,Irvine Unified School District,684500,2019,,
94,95,9700000US0691135,"Val Verde Unified School District, California",67443,21098,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,41262,-999999999,55166,56.2,61.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,61.6,-999999999.0,66.4,7.3,8.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,5.0,-999999999.0,6.7,6,91135.0,Val Verde Unified School District,691135,2019,,
95,96,9700000US0604740,"Berkeley Unified School District, California",109524,65737,-999999999,-999999999,26545,-999999999,-999999999,-999999999,11587,59918,77229,57.9,61.1,-999999999.0,-999999999.0,50.6,-999999999.0,-999999999.0,-999999999.0,60.8,61.0,72.7,6.0,5.6,-999999999.0,-999999999.0,6.4,-999999999.0,-999999999.0,-999999999.0,8.4,5.0,5.3,6,4740.0,Berkeley Unified School District,604740,2019,,
96,97,9700000US0614550,"Fresno Unified School District, California",282604,173618,20037,-999999999,33712,-999999999,41575,10216,142004,79654,215290,53.4,54.0,43.9,-999999999.0,51.0,-999999999.0,56.5,55.0,56.7,50.3,64.8,8.6,9.3,14.3,-999999999.0,6.4,-999999999.0,5.6,7.9,9.5,7.0,8.5,6,14550.0,Fresno Unified School District,614550,2019,,
97,98,9700000US0614880,"Garden Grove Unified School District, California",217318,80306,-999999999,-999999999,99531,-999999999,30841,-999999999,74614,37316,159306,59.3,60.8,-999999999.0,-999999999.0,55.4,-999999999.0,67.0,-999999999.0,67.3,53.2,74.1,4.1,3.4,-999999999.0,-999999999.0,4.5,-999999999.0,4.5,-999999999.0,3.5,4.2,4.1,6,14880.0,Garden Grove Unified School District,614880,2019,,
98,99,9700000US0602430,"Alvord Unified School District, California",95444,56903,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,57265,20660,74961,62.8,61.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,66.3,54.7,76.0,3.5,3.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,2.1,5.2,3.2,6,2430.0,Alvord Unified School District,602430,2019,,
99,100,9700000US0602850,"Antioch Unified School District, California",94744,39694,-999999999,-999999999,-999999999,-999999999,14404,-999999999,28585,29125,71272,57.3,52.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,61.6,-999999999.0,58.5,52.1,70.5,9.3,9.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,5.3,-999999999.0,9.4,8.7,8.5,6,2850.0,Antioch Unified School District,602850,2019,,
100,101,9700000US0603600,"Azusa Unified School District, California",55367,35819,-999999999,-999999999,9225,-999999999,-999999999,-999999999,31979,11513,43669,62.4,61.8,-999999999.0,-999999999.0,61.6,-999999999.0,-999999999.0,-999999999.0,66.9,54.3,73.2,4.6,3.4,-999999999.0,-999999999.0,7.5,-999999999.0,-999999999.0,-999999999.0,3.0,4.1,4.1,6,3600.0,Azusa Unified School District,603600,2019,,
101,102,9700000US0634680,"San Leandro Unified School District, California",59672,20596,-999999999,-999999999,19763,-999999999,-999999999,-999999999,-999999999,13499,46598,67.6,64.4,-999999999.0,-999999999.0,65.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,59.6,80.4,4.4,4.1,-999999999.0,-999999999.0,7.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,6.6,4.7,6,34680.0,San Leandro Unified School District,634680,2019,,
102,103,9700000US0634590,"San Jose Unified School District, California",216256,121037,-999999999,-999999999,50268,-999999999,25007,-999999999,65556,85166,165428,65.7,66.7,-999999999.0,-999999999.0,62.2,-999999999.0,69.3,-999999999.0,70.5,64.8,78.9,2.6,1.8,-999999999.0,-999999999.0,2.4,-999999999.0,5.2,-999999999.0,2.9,2.0,2.3,6,34590.0,San Jose Unified School District,634590,2019,,
103,104,9700000US0634620,"San Juan Unified School District, California",283660,217200,16044,-999999999,15250,-999999999,-999999999,-999999999,42227,191604,202712,58.7,58.8,46.7,-999999999.0,61.6,-999999999.0,-999999999.0,-999999999.0,62.7,58.3,73.6,5.8,4.1,19.8,-999999999.0,3.8,-999999999.0,-999999999.0,-999999999.0,7.1,3.6,5.9,6,34620.0,San Juan Unified School District,634620,2019,,
104,105,9700000US0634710,"San Lorenzo Unified School District, California",66278,27338,-999999999,-999999999,19859,-999999999,-999999999,-999999999,-999999999,13702,51621,63.8,58.4,-999999999.0,-999999999.0,64.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,53.3,75.7,6.1,7.4,-999999999.0,-999999999.0,6.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.2,6.1,6,34710.0,San Lorenzo Unified School District,634710,2019,,
105,106,9700000US0634800,"San Luis Coastal Unified School District, California",86220,70851,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,13273,61024,57749,52.4,55.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,60.4,54.0,66.6,5.4,4.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,7.9,3.9,4.1,6,34800.0,San Luis Coastal Unified School District,634800,2019,,
106,107,9700000US0601414,"Santa Barbara Unified School District, California",-999999999,58648,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,43282,-999999999,-999999999.0,65.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,64.2,-999999999.0,-999999999.0,2.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,2.2,-999999999.0,6,1414.0,Santa Barbara Unified School District,601414,2019,,
107,108,9700000US0632370,"Rialto Unified School District, California",96402,59792,16158,-999999999,-999999999,-999999999,13786,-999999999,65948,10168,74922,58.8,61.1,52.1,-999999999.0,-999999999.0,-999999999.0,55.3,-999999999.0,61.3,49.6,70.3,8.8,7.8,12.5,-999999999.0,-999999999.0,-999999999.0,8.4,-999999999.0,7.3,11.0,8.3,6,32370.0,Rialto Unified School District,632370,2019,,
108,109,9700000US0634880,"San Marcos Unified School District, California",101057,79884,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,56535,74122,63.2,62.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,60.4,77.1,2.4,2.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,2.8,1.9,6,34880.0,San Marcos Unified School District,634880,2019,,
109,110,9700000US0635130,"San Ramon Valley Unified School District, California",124160,71741,-999999999,-999999999,44139,-999999999,-999999999,-999999999,-999999999,67821,89764,63.0,63.4,-999999999.0,-999999999.0,64.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,63.1,76.6,3.1,2.2,-999999999.0,-999999999.0,3.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,2.2,2.8,6,35130.0,San Ramon Valley Unified School District,635130,2019,,
110,111,9700000US0635310,"Santa Ana Unified School District, California",206347,64290,-999999999,-999999999,-999999999,-999999999,116067,-999999999,160624,23890,163823,64.8,63.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,66.9,-999999999.0,65.9,62.1,76.8,4.6,3.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,5.4,-999999999.0,5.1,1.9,4.2,6,35310.0,Santa Ana Unified School District,635310,2019,,
111,112,9700000US0635430,"Santa Clara Unified School District, California",145555,51196,-999999999,-999999999,68851,-999999999,-999999999,-999999999,-999999999,41993,120329,71.7,66.6,-999999999.0,-999999999.0,73.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,66.8,81.7,3.0,1.6,-999999999.0,-999999999.0,2.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,1.4,3.1,6,35430.0,Santa Clara Unified School District,635430,2019,,
112,113,9700000US0635700,"Santa Monica-Malibu Unified School District, California",91219,73247,-999999999,-999999999,8909,-999999999,-999999999,-999999999,14197,62669,64081,61.9,62.1,-999999999.0,-999999999.0,56.6,-999999999.0,-999999999.0,-999999999.0,49.2,65.0,78.1,3.8,4.3,-999999999.0,-999999999.0,1.0,-999999999.0,-999999999.0,-999999999.0,4.4,4.4,3.4,6,35700.0,Santa Monica-Malibu Unified School District,635700,2019,,
113,114,9700000US0627240,"Newport-Mesa Unified School District, California",159703,113501,-999999999,-999999999,16469,-999999999,21544,-999999999,35369,102185,121002,67.0,66.1,-999999999.0,-999999999.0,57.3,-999999999.0,74.2,-999999999.0,74.6,65.3,80.8,4.3,3.9,-999999999.0,-999999999.0,3.8,-999999999.0,6.6,-999999999.0,5.0,4.1,4.0,6,27240.0,Newport-Mesa Unified School District,627240,2019,,
114,115,9700000US0627690,"Norwalk-La Mirada Unified School District, California",101467,42029,-999999999,-999999999,19799,-999999999,30909,-999999999,57102,18183,74688,59.4,57.9,-999999999.0,-999999999.0,59.0,-999999999.0,62.3,-999999999.0,62.8,48.9,73.8,6.3,4.2,-999999999.0,-999999999.0,6.8,-999999999.0,9.3,-999999999.0,6.7,5.8,5.9,6,27690.0,Norwalk-La Mirada Unified School District,627690,2019,,
115,116,9700000US0627720,"Novato Unified School District, California",53039,43284,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,38961,32806,58.9,58.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,57.5,76.6,3.8,2.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,2.6,3.3,6,27720.0,Novato Unified School District,627720,2019,,
116,117,9700000US0628050,"Oakland Unified School District, California",353106,127571,88170,-999999999,56737,-999999999,57619,-999999999,85216,109907,277604,65.3,73.6,53.6,-999999999.0,59.7,-999999999.0,68.4,-999999999.0,69.5,73.6,78.2,4.3,3.7,7.0,-999999999.0,2.0,-999999999.0,4.4,-999999999.0,4.6,3.3,3.9,6,28050.0,Oakland Unified School District,628050,2019,,
117,118,9700000US0628250,"Oceanside Unified School District, California",107834,82070,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,43025,49092,82799,58.7,58.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,68.4,52.0,69.2,5.7,5.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,6.0,4.9,5.3,6,28250.0,Oceanside Unified School District,628250,2019,,
118,119,9700000US0601332,"Twin Rivers Unified School District, California",138033,77350,18734,-999999999,-999999999,-999999999,-999999999,-999999999,44849,58525,108420,60.2,61.2,46.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,66.9,59.6,70.4,5.8,4.1,17.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,2.8,5.4,5.9,6,1332.0,Twin Rivers Unified School District,601332,2019,,
119,120,9700000US0600158,"Turlock Unified School District, California",-999999999,47581,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,21129,30385,-999999999,-999999999.0,59.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,60.9,57.3,-999999999.0,-999999999.0,2.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.6,3.9,-999999999.0,6,158.0,Turlock Unified School District,600158,2019,,
0,1,9500000US0633930,"Salinas City Elementary School District, California",56443,21306,-999999999,-999999999,-999999999,-999999999,29512,-999999999,41318,11018,44142,61.6,62.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,60.0,-999999999.0,63.3,54.9,73.1,5.2,7.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.4,-999999999.0,5.2,6.3,5.2,6,,Salinas City Elementary School District,633930,2019,33930.0,
1,2,9500000US0634920,"San Mateo-Foster City Elementary School District, California",114601,57723,-999999999,-999999999,37442,-999999999,-999999999,-999999999,-999999999,48379,85308,67.6,62.9,-999999999.0,-999999999.0,69.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,61.8,82.5,3.1,3.4,-999999999.0,-999999999.0,2.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.2,3.1,6,,San Mateo-Foster City Elementary School District,634920,2019,34920.0,
2,3,9500000US0628140,"Ocean View Elementary School District (Orange County), California",86182,53903,-999999999,-999999999,13974,-999999999,-999999999,-999999999,19491,46223,62230,62.0,62.4,-999999999.0,-999999999.0,55.8,-999999999.0,-999999999.0,-999999999.0,71.1,61.0,77.4,6.4,5.5,-999999999.0,-999999999.0,4.7,-999999999.0,-999999999.0,-999999999.0,5.0,5.4,5.2,6,,Ocean View Elementary School District (Orange County),628140,2019,28140.0,
3,4,9500000US0626280,"Mountain View Whisman Elementary School District, California",-999999999,33047,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,27361,-999999999,-999999999.0,69.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,71.6,-999999999.0,-999999999.0,2.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,2.3,-999999999.0,6,,Mountain View Whisman Elementary School District,626280,2019,26280.0,
4,5,9500000US0627180,"Newhall Elementary School District, California",57044,39422,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,29803,42078,59.6,57.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,55.7,74.6,3.6,3.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.9,3.4,6,,Newhall Elementary School District,627180,2019,27180.0,
5,6,9500000US0627810,"Oak Grove Elementary School District, California",95966,49058,-999999999,-999999999,32968,-999999999,-999999999,-999999999,29965,27922,75083,68.6,67.8,-999999999.0,-999999999.0,69.3,-999999999.0,-999999999.0,-999999999.0,70.2,64.1,81.5,2.8,2.6,-999999999.0,-999999999.0,1.9,-999999999.0,-999999999.0,-999999999.0,4.0,2.6,3.0,6,,Oak Grove Elementary School District,627810,2019,27810.0,
6,7,9500000US0642150,"Westminster School District, California",69118,25387,-999999999,-999999999,30277,-999999999,-999999999,-999999999,19029,16769,52779,59.6,60.2,-999999999.0,-999999999.0,57.3,-999999999.0,-999999999.0,-999999999.0,63.5,58.8,74.1,5.4,5.3,-999999999.0,-999999999.0,4.1,-999999999.0,-999999999.0,-999999999.0,8.6,4.7,5.0,6,,Westminster School District,642150,2019,42150.0,
7,8,9500000US0603630,"Bakersfield City School District, California",138160,95787,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,88780,34151,105814,52.8,50.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,55.8,48.7,65.1,8.5,10.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,9.4,6.6,7.9,6,,Bakersfield City School District,603630,2019,3630.0,
8,9,9500000US0606390,"Panama-Buena Vista School District, California",99085,64235,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,43984,32003,76830,58.7,59.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,60.5,55.6,70.9,6.1,4.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,6.4,6.1,5.3,6,,Panama-Buena Vista School District,606390,2019,6390.0,
9,10,9500000US0612090,"El Monte City School District, California",72475,19710,-999999999,-999999999,30166,-999999999,-999999999,-999999999,33980,-999999999,53243,58.1,55.6,-999999999.0,-999999999.0,58.0,-999999999.0,-999999999.0,-999999999.0,61.5,-999999999.0,73.1,4.9,11.0,-999999999.0,-999999999.0,1.4,-999999999.0,-999999999.0,-999999999.0,7.2,-999999999.0,4.6,6,,El Monte City School District,612090,2019,12090.0,
10,11,9500000US0637380,"South Bay Union School District, California",60660,45491,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,39467,11658,44266,53.0,53.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,53.9,50.1,65.7,10.7,10.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,12.3,9.6,10.2,6,,South Bay Union School District,637380,2019,37380.0,
11,12,9500000US0630990,"Pleasant Valley Elementary School District, California",68327,53653,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,17676,39440,46771,58.1,57.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,70.3,53.1,76.8,3.1,2.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,1.5,3.4,3.3,6,,Pleasant Valley Elementary School District,630990,2019,30990.0,
12,13,9500000US0628470,"Ontario-Montclair School District, California",141394,89774,-999999999,-999999999,-999999999,-999999999,30330,-999999999,103752,21064,114053,62.2,62.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,62.0,-999999999.0,65.1,52.3,72.8,5.1,4.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.0,-999999999.0,4.2,4.6,4.8,6,,Ontario-Montclair School District,628470,2019,28470.0,
13,14,9500000US0620880,"Lancaster Elementary School District, California",88149,53344,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,33657,26764,65729,51.3,51.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,54.7,47.8,65.1,5.3,6.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,5.1,9.2,4.8,6,,Lancaster Elementary School District,620880,2019,20880.0,
14,15,9500000US0639870,"Tulare City Elementary School District, California",42017,34834,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,25337,14570,33021,58.7,58.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,59.2,55.7,70.7,7.3,7.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,7.5,6.8,6.6,6,,Tulare City Elementary School District,639870,2019,39870.0,
15,16,9500000US0638460,"Sunnyvale Elementary School District, California",76781,31810,-999999999,-999999999,34795,-999999999,-999999999,-999999999,-999999999,23709,65242,72.9,69.2,-999999999.0,-999999999.0,74.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,66.2,80.7,2.2,2.6,-999999999.0,-999999999.0,1.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.5,2.2,6,,Sunnyvale Elementary School District,638460,2019,38460.0,
16,17,9500000US0602310,"Alum Rock Union Elementary School District, California",97365,28720,-999999999,-999999999,33446,-999999999,28905,-999999999,52294,7922,74881,64.0,63.4,-999999999.0,-999999999.0,61.0,-999999999.0,70.0,-999999999.0,67.5,62.2,77.0,5.7,3.6,-999999999.0,-999999999.0,7.0,-999999999.0,4.5,-999999999.0,4.5,4.2,6.0,6,,Alum Rock Union Elementary School District,602310,2019,2310.0,
17,18,9500000US0602610,"Anaheim Elementary School District, California",163233,109189,-999999999,-999999999,27484,-999999999,17354,-999999999,97792,30934,133126,67.7,67.9,-999999999.0,-999999999.0,63.6,-999999999.0,71.8,-999999999.0,69.4,65.6,77.8,3.9,4.1,-999999999.0,-999999999.0,3.7,-999999999.0,2.2,-999999999.0,3.6,4.4,3.7,6,,Anaheim Elementary School District,602610,2019,2610.0,
18,19,9500000US0608610,"Chula Vista Elementary School District, California",253212,162913,12556,-999999999,45550,-999999999,-999999999,-999999999,144236,46998,194207,58.2,59.2,49.7,-999999999.0,54.1,-999999999.0,-999999999.0,-999999999.0,62.0,52.8,70.4,10.2,11.2,15.8,-999999999.0,5.7,-999999999.0,-999999999.0,-999999999.0,12.0,6.1,9.1,6,,Chula Vista Elementary School District,608610,2019,8610.0,
19,20,9500000US0641040,"Victor Elementary School District, California",75372,50509,9422,-999999999,-999999999,-999999999,-999999999,-999999999,40825,19515,60965,52.8,50.7,41.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,59.9,42.9,63.6,12.5,11.3,32.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,7.4,16.2,10.4,6,,Victor Elementary School District,641040,2019,41040.0,
20,21,9500000US0642120,"Westside Union Elementary School District, California",57794,38583,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,27250,42988,49.7,49.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,48.7,62.0,5.2,4.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.1,5.1,6,,Westside Union Elementary School District,642120,2019,42120.0,
21,22,9500000US0618030,"Huntington Beach City Elementary School District, California",67832,52880,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,6985,48711,48012,63.4,63.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,68.7,62.9,79.3,3.8,2.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,9.0,2.1,3.9,6,,Huntington Beach City Elementary School District,618030,2019,18030.0,
22,23,9500000US0618870,"Jefferson Elementary School District (San Mateo County), California",78013,19489,-999999999,-999999999,45835,-999999999,-999999999,-999999999,19389,-999999999,59214,67.5,68.9,-999999999.0,-999999999.0,66.3,-999999999.0,-999999999.0,-999999999.0,73.1,-999999999.0,84.3,3.6,1.0,-999999999.0,-999999999.0,3.8,-999999999.0,-999999999.0,-999999999.0,4.2,-999999999.0,3.5,6,,Jefferson Elementary School District (San Mateo County),618870,2019,18870.0,
23,24,9500000US0635970,"Saugus Union Elementary School District, California",82879,60218,-999999999,-999999999,9730,-999999999,-999999999,-999999999,22932,42074,62913,64.3,64.2,-999999999.0,-999999999.0,63.2,-999999999.0,-999999999.0,-999999999.0,66.4,63.4,77.4,2.9,2.6,-999999999.0,-999999999.0,2.9,-999999999.0,-999999999.0,-999999999.0,2.5,2.4,3.0,6,,Saugus Union Elementary School District,635970,2019,35970.0,
24,25,9500000US0638670,"Sylvan Union Elementary School District, California",-999999999,39763,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,17606,27936,-999999999,-999999999.0,53.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,61.6,51.4,-999999999.0,-999999999.0,8.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,9.3,6.1,-999999999.0,6,,Sylvan Union Elementary School District,638670,2019,38670.0,
