,Unnamed: 0,Unnamed: 0.1,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!Population 20 to 64 years,NCESDist,year,School District Type,Estimate!!Total!!Population 16 years and over,Estimate!!Employment/Population Ratio!!Population 16 years and over,Estimate!!Unemployment rate!!Population 16 years and over,Estimate!!Total!!Population 20 to 64 years,Estimate!!Employment/Population Ratio!!Population 20 to 64 years,Estimate!!Unemployment rate!!Population 20 to 64 years
109,109,110,100946.0,76518.0,57.8,70.9,6.8,6.5,640980,2015,Unified,,,,,,
110,110,111,109781.0,85042.0,51.9,62.6,6.2,6.2,641160,2015,Unified,,,,,,
111,111,112,117691.0,87665.0,61.3,75.2,6.7,6.2,641190,2015,Unified,,,,,,
112,112,113,50191.0,38568.0,58.9,70.8,8.7,8.3,643080,2015,Unified,,,,,,
113,113,114,56119.0,41474.0,48.3,60.2,13.5,13.4,643470,2015,Unified,,,,,,
114,114,115,188288.0,146481.0,56.7,67.2,5.1,4.9,684500,2015,Unified,,,,,,
115,115,116,68697.0,53982.0,55.6,65.5,10.7,10.2,691135,2015,Unified,,,,,,
116,0,1,94280.0,72625.0,60.5,74.2,8.4,7.6,602310,2015,Elementary,,,,,,
117,1,2,161041.0,130994.0,65.7,76.8,6.6,6.1,602610,2015,Elementary,,,,,,
118,2,3,146865.0,113489.0,54.3,64.9,13.7,13.2,603630,2015,Elementary,,,,,,
119,3,4,64015.0,50104.0,60.1,71.7,6.7,6.4,604800,2015,Elementary,,,,,,
120,4,5,74714.0,58556.0,64.4,75.3,6.5,6.6,605580,2015,Elementary,,,,,,
121,5,6,94502.0,74443.0,61.2,70.5,8.9,8.8,606390,2015,Elementary,,,,,,
122,6,7,136933.0,106100.0,55.6,67.5,9.9,9.0,606810,2015,Elementary,,,,,,
123,7,8,79062.0,63092.0,67.8,79.8,3.7,3.7,607200,2015,Elementary,,,,,,
124,8,9,233241.0,181265.0,57.8,70.7,7.4,7.0,608610,2015,Elementary,,,,,,
125,9,10,113387.0,87271.0,60.2,74.7,5.5,5.4,610290,2015,Elementary,,,,,,
126,10,11,61301.0,47618.0,59.7,72.5,6.3,6.5,611850,2015,Elementary,,,,,,
