,Unnamed: 0,Geography,Estimate!!Total!!Population 16 years and over,Estimate!!Employment/Population Ratio!!Population 16 years and over,Estimate!!Unemployment rate!!Population 16 years and over,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),"Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino","Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino","Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",Estimate!!Total!!Population 20 to 64 years,Estimate!!Employment/Population Ratio!!Population 20 to 64 years,Estimate!!Unemployment rate!!Population 20 to 64 years,NAME,STATE,SCHOOL DISTRICT (UNIFIED),District,NCESDist,year,SCHOOL DISTRICT (ELEMENTARY),SCHOOL DISTRICT (SECONDARY)
20,21,9700000US0600028,124395,58.6,4.6,84697,58.1,4.7,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,12672,62.0,1.6,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,34633,56.5,5.6,64742,58.5,4.8,97665,70.5,4.0,"Temecula Valley Unified School District, California",6,28.0,Temecula Valley Unified School District,600028,2018,,
21,22,9700000US0615180,-999999999,-999999999.0,-999999999.0,37707,63.4,8.6,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,25026,66.5,8.5,17772,59.6,6.8,-999999999,-999999999.0,-999999999.0,"Gilroy Unified School District, California",6,15180.0,Gilroy Unified School District,615180,2018,,
22,23,9700000US0626910,67612,65.9,2.6,13275,55.7,3.1,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,35291,67.2,1.8,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,9911,54.5,3.7,52633,78.9,2.4,"New Haven Unified School District, California",6,26910.0,New Haven Unified School District,626910,2018,,
23,24,9700000US0627240,164771,65.1,3.1,127905,64.4,3.5,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,33624,70.7,2.5,109790,63.7,3.6,122875,78.7,2.4,"Newport-Mesa Unified School District, California",6,27240.0,Newport-Mesa Unified School District,627240,2018,,
24,25,9700000US0639420,118365,61.3,3.1,57554,59.8,3.3,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,43244,61.5,2.4,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,19802,66.1,4.3,47967,59.1,2.6,86119,77.5,3.1,"Torrance Unified School District, California",6,39420.0,Torrance Unified School District,639420,2018,,
25,26,9700000US0601414,75486,61.9,5.2,60040,62.3,4.6,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,29327,64.5,4.6,41117,60.5,5.2,54225,76.6,4.6,"Santa Barbara Unified School District, California",6,1414.0,Santa Barbara Unified School District,601414,2018,,
26,27,9700000US0602430,91610,64.0,4.0,60578,63.1,4.1,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,54154,65.5,3.2,21944,60.6,6.4,74470,74.2,3.6,"Alvord Unified School District, California",6,2430.0,Alvord Unified School District,602430,2018,,
27,28,9700000US0600020,64058,65.6,2.8,38221,62.8,4.5,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,21424,68.5,0.6,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,33209,60.7,4.2,47245,79.9,2.3,"Pleasanton Unified School District, California",6,20.0,Pleasanton Unified School District,600020,2018,,
28,29,9700000US0609030,168706,61.1,5.1,117554,61.5,3.9,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,20713,62.1,4.1,-999999999,-999999999.0,-999999999.0,13457,63.0,8.4,-999999999,-999999999.0,-999999999.0,44501,65.0,6.8,91407,60.3,3.3,126100,74.8,4.9,"Clovis Unified School District, California",6,9030.0,Clovis Unified School District,609030,2018,,
29,30,9700000US0623160,50502,57.5,7.2,27932,60.1,7.6,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,42698,61.0,6.7,-999999999,-999999999.0,-999999999.0,41034,66.1,6.4,"Lynwood Unified School District, California",6,23160.0,Lynwood Unified School District,623160,2018,,
