,Unnamed: 0,Geography,Estimate!!Total!!Population 16 years and over,Estimate!!Employment/Population Ratio!!Population 16 years and over,Estimate!!Unemployment rate!!Population 16 years and over,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),"Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino","Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino","Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",Estimate!!Total!!Population 20 to 64 years,Estimate!!Employment/Population Ratio!!Population 20 to 64 years,Estimate!!Unemployment rate!!Population 20 to 64 years,NAME,STATE,SCHOOL DISTRICT (UNIFIED),District,NCESDist,year,SCHOOL DISTRICT (ELEMENTARY),SCHOOL DISTRICT (SECONDARY)
86,87,9700000US0611460,95139,63.1,4.8,50959,60.3,6.5,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,28540,70.4,1.0,-999999999,-999999999.0,-999999999.0,65853,66.5,4.2,16702,54.4,5.0,73035,76.9,4.0,"Downey Unified School District, California",6,11460.0,Downey Unified School District,611460,2018,,
87,88,9700000US0623340,64764,55.8,13.5,32320,54.5,9.1,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,27075,59.5,15.7,-999999999,-999999999.0,-999999999.0,46308,61.8,12.8,14213,40.8,9.5,49160,67.0,13.1,"Madera Unified School District, California",6,23340.0,Madera Unified School District,623340,2018,,
88,89,9700000US0625530,76673,60.6,4.6,52031,61.7,5.1,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,9036,58.2,5.1,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,19351,68.4,4.1,38623,59.6,5.0,57714,72.1,4.5,"Monterey Peninsula Unified School District, California",6,25530.0,Monterey Peninsula Unified School District,625530,2018,,
89,90,9700000US0634410,776750,69.1,3.7,361161,74.7,2.9,39889,54.1,7.6,-999999999,-999999999.0,-999999999.0,273459,63.9,3.8,-999999999,-999999999.0,-999999999.0,60515,67.6,5.1,37570,72.6,4.9,109684,69.4,4.3,321080,75.1,2.8,610916,82.4,3.3,"San Francisco Unified School District, California",6,34410.0,San Francisco Unified School District,634410,2018,,
90,91,9700000US0641190,127715,63.4,3.9,100963,63.4,4.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,46207,68.2,4.3,64773,60.6,3.8,98075,76.6,3.3,"Vista Unified School District, California",6,41190.0,Vista Unified School District,641190,2018,,
91,92,9700000US0600158,57391,56.4,8.8,43105,56.9,9.1,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,21000,55.3,10.2,28320,58.4,7.8,41930,70.9,8.1,"Turlock Unified School District, California",6,158.0,Turlock Unified School District,600158,2018,,
92,93,9700000US0629550,149537,48.4,6.4,117632,47.1,6.3,7093,33.0,21.6,-999999999,-999999999.0,-999999999.0,8998,58.4,3.8,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,50630,59.7,5.6,79302,40.8,6.6,99166,65.1,5.9,"Palm Springs Unified School District, California",6,29550.0,Palm Springs Unified School District,629550,2018,,
93,94,9700000US0634880,105597,63.4,3.5,84718,62.1,3.5,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,56955,56.6,5.0,77559,76.4,3.2,"San Marcos Unified School District, California",6,34880.0,San Marcos Unified School District,634880,2018,,
94,95,9700000US0640980,101485,60.6,2.3,88584,60.3,2.1,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,36200,66.8,1.7,56292,56.5,2.5,72947,75.4,2.4,"Ventura Unified School District, California",6,40980.0,Ventura Unified School District,640980,2018,,
95,96,9700000US0684500,202295,59.0,4.1,97929,59.0,5.2,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,88439,59.1,3.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,25555,56.8,3.0,78366,60.5,5.4,157006,69.7,3.5,"Irvine Unified School District, California",6,84500.0,Irvine Unified School District,684500,2018,,
96,97,9700000US0600047,64166,66.6,2.9,37345,65.9,2.4,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,11318,72.1,3.2,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,20102,68.2,1.6,49764,78.4,2.5,"Tracy Unified School District, California",6,47.0,Tracy Unified School District,600047,2018,,
97,98,9700000US0635130,115651,62.8,3.5,68535,60.9,4.2,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,36406,64.1,2.7,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,63529,60.0,4.1,84122,77.7,3.7,"San Ramon Valley Unified School District, California",6,35130.0,San Ramon Valley Unified School District,635130,2018,,
98,99,9700000US0640150,108282,66.5,4.8,59426,62.8,7.5,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,39841,70.2,5.2,41649,62.7,6.5,83813,78.4,4.4,"Tustin Unified School District, California",6,40150.0,Tustin Unified School District,640150,2018,,
99,100,9700000US0609390,87167,58.3,7.4,53004,54.1,7.2,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,22372,67.9,7.0,-999999999,-999999999.0,-999999999.0,60988,60.8,7.4,16912,50.7,5.4,65149,72.7,6.5,"Colton Joint Unified School District, California",6,9390.0,Colton Joint Unified School District,609390,2018,,
100,101,9700000US0616740,145307,61.1,4.3,46562,56.8,5.7,15316,61.4,7.1,-999999999,-999999999.0,-999999999.0,39258,61.8,3.3,-999999999,-999999999.0,-999999999.0,31966,66.0,3.2,-999999999,-999999999.0,-999999999.0,50592,62.6,3.5,32090,56.2,6.2,112847,73.6,4.1,"Hayward Unified School District, California",6,16740.0,Hayward Unified School District,616740,2018,,
101,102,9700000US0622110,79290,67.3,4.2,54947,66.6,3.7,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,13812,70.6,4.1,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,47907,64.9,4.1,61515,78.8,4.1,"Livermore Valley Joint Unified School District, California",6,22110.0,Livermore Valley Joint Unified School District,622110,2018,,
102,103,9700000US0629850,59163,63.6,7.0,17892,60.7,6.7,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,26998,66.3,6.2,-999999999,-999999999.0,-999999999.0,41803,65.0,6.7,-999999999,-999999999.0,-999999999.0,48197,74.3,5.5,"Paramount Unified School District, California",6,29850.0,Paramount Unified School District,629850,2018,,
103,104,9700000US0613360,111862,63.3,3.7,59866,62.8,3.4,15696,68.6,3.5,-999999999,-999999999.0,-999999999.0,22463,61.8,3.2,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,30224,69.7,3.4,37742,57.0,4.0,85113,75.1,3.5,"Fairfield-Suisun Unified School District, California",6,13360.0,Fairfield-Suisun Unified School District,613360,2018,,
104,105,9700000US0625860,55846,39.4,9.9,50199,37.6,10.4,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,9787,36.7,18.1,41929,38.4,9.1,38683,49.4,11.2,"Morongo Unified School District, California",6,25860.0,Morongo Unified School District,625860,2018,,
105,106,9700000US0627720,52713,63.1,2.4,41375,60.2,3.2,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,38113,60.1,2.9,35795,79.8,2.6,"Novato Unified School District, California",6,27720.0,Novato Unified School District,627720,2018,,
106,107,9700000US0628050,355658,66.3,5.3,131691,73.2,4.0,83592,57.9,8.1,-999999999,-999999999.0,-999999999.0,60629,60.7,5.8,-999999999,-999999999.0,-999999999.0,55785,67.1,4.2,-999999999,-999999999.0,-999999999.0,83056,68.1,4.8,111389,73.5,3.4,280797,78.4,5.1,"Oakland Unified School District, California",6,28050.0,Oakland Unified School District,628050,2018,,
107,108,9700000US0629490,88470,59.5,10.6,54814,60.3,8.4,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,24169,60.1,16.4,-999999999,-999999999.0,-999999999.0,48421,62.0,14.0,34784,56.4,5.7,65635,71.4,10.1,"Pajaro Valley Joint Unified School District, California",6,29490.0,Pajaro Valley Joint Unified School District,629490,2018,,
108,109,9700000US0629610,72010,56.4,3.9,43043,54.7,4.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,23539,61.1,2.6,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,39768,55.3,4.1,49874,71.5,3.6,"Palo Alto Unified School District, California",6,29610.0,Palo Alto Unified School District,629610,2018,,
109,110,9700000US0633750,92520,61.1,5.5,26225,62.1,5.5,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,44216,59.5,5.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,38309,65.7,5.7,5733,52.0,5.2,68136,76.0,5.7,"Rowland Unified School District, California",6,33750.0,Rowland Unified School District,633750,2018,,
110,111,9700000US0600032,-999999999,-999999999.0,-999999999.0,37861,72.6,3.2,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,30696,70.4,4.1,-999999999,-999999999.0,-999999999.0,"Redondo Beach Unified School District, California",6,32.0,Redondo Beach Unified School District,600032,2018,,
111,112,9700000US0610050,62056,62.1,4.8,32803,59.7,5.5,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,13966,60.6,3.6,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,33256,64.9,5.1,11386,49.2,5.4,46466,76.6,4.4,"Covina-Valley Unified School District, California",6,10050.0,Covina-Valley Unified School District,610050,2018,,
112,113,9700000US0622500,420140,63.5,5.0,216965,64.2,3.8,54123,52.9,11.5,-999999999,-999999999.0,-999999999.0,60557,64.3,3.5,-999999999,-999999999.0,-999999999.0,67253,67.3,5.3,14784,68.6,4.9,149695,65.9,4.5,142500,64.4,3.9,336450,74.7,4.5,"Long Beach Unified School District, California",6,22500.0,Long Beach Unified School District,622500,2018,,
113,114,9700000US0629940,167020,62.3,3.3,86165,62.5,3.5,17085,56.9,5.7,-999999999,-999999999.0,-999999999.0,30059,61.0,2.8,-999999999,-999999999.0,-999999999.0,26513,65.2,2.3,-999999999,-999999999.0,-999999999.0,50504,64.0,2.2,66035,63.3,4.0,124157,76.1,3.3,"Pasadena Unified School District, California",6,29940.0,Pasadena Unified School District,629940,2018,,
114,115,9700000US0632550,207033,65.7,4.8,78799,66.6,4.3,31184,58.0,6.8,-999999999,-999999999.0,-999999999.0,46495,65.3,4.9,-999999999,-999999999.0,-999999999.0,39689,69.8,4.7,-999999999,-999999999.0,-999999999.0,67666,69.1,4.1,53196,66.5,4.8,159587,77.9,4.2,"West Contra Costa Unified School District, California",6,32550.0,West Contra Costa Unified School District,632550,2018,,
115,116,9700000US0622230,135023,54.9,7.2,67186,53.2,5.1,7876,44.6,19.3,-999999999,-999999999.0,-999999999.0,32771,58.2,6.9,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,18713,60.0,9.2,39181,58.9,7.8,51649,51.6,5.0,98005,69.9,6.6,"Lodi Unified School District, California",6,22230.0,Lodi Unified School District,622230,2018,,
116,117,9700000US0625830,52738,63.8,3.4,39504,62.9,2.3,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,7143,60.8,6.4,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,27357,61.8,2.4,39327,78.1,3.5,"Morgan Hill Unified School District, California",6,25830.0,Morgan Hill Unified School District,625830,2018,,
117,118,9700000US0633150,215142,59.4,5.5,135348,61.0,4.7,12188,48.1,19.6,-999999999,-999999999.0,-999999999.0,21158,49.4,3.7,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,102655,64.7,4.6,74508,57.3,4.8,163204,72.9,4.6,"Riverside Unified School District, California",6,33150.0,Riverside Unified School District,633150,2018,,
118,119,9700000US0638010,151285,55.8,7.3,86051,58.1,4.9,16743,42.6,19.5,-999999999,-999999999.0,-999999999.0,24797,52.9,6.0,-999999999,-999999999.0,-999999999.0,12660,63.0,12.4,-999999999,-999999999.0,-999999999.0,76823,62.6,5.7,29623,48.0,8.0,117028,67.6,7.4,"Stockton Unified School District, California",6,38010.0,Stockton Unified School District,638010,2018,,
119,120,9700000US0643080,53395,60.7,4.7,44304,60.0,4.6,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,24788,60.9,3.6,38741,77.1,4.1,"Woodland Joint Unified School District, California",6,43080.0,Woodland Joint Unified School District,643080,2018,,
0,1,9500000US0620880,81690,48.4,9.2,46907,51.2,6.5,17546,36.2,20.1,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,10752,54.1,10.3,-999999999,-999999999.0,-999999999.0,32765,49.9,6.9,25659,54.2,7.6,62238,58.9,8.7,"Lancaster Elementary School District, California",6,,Lancaster Elementary School District,620880,2018,20880.0,
1,2,9500000US0627180,59108,60.9,5.0,43101,60.4,5.5,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,32299,57.5,7.5,44752,73.3,5.0,"Newhall Elementary School District, California",6,,Newhall Elementary School District,627180,2018,27180.0,
2,3,9500000US0642150,69721,56.5,5.7,27117,55.6,5.8,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,34257,54.0,4.4,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,16061,59.7,9.4,17763,56.2,4.9,51164,72.7,5.4,"Westminster School District, California",6,,Westminster School District,642150,2018,42150.0,
3,4,9500000US0628470,143249,63.3,6.1,65946,63.6,3.9,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,9227,56.6,11.8,-999999999,-999999999.0,-999999999.0,56123,65.1,7.9,-999999999,-999999999.0,-999999999.0,106801,65.7,5.9,19017,56.3,4.1,113697,74.4,5.5,"Ontario-Montclair School District, California",6,,Ontario-Montclair School District,628470,2018,28470.0,
4,5,9500000US0639870,44492,61.1,6.2,35877,62.1,4.6,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,28693,63.3,7.3,12566,61.7,2.5,35152,69.8,6.6,"Tulare City Elementary School District, California",6,,Tulare City Elementary School District,639870,2018,39870.0,
5,6,9500000US0642450,51933,62.1,3.6,24790,61.5,4.7,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,21363,64.7,2.2,-999999999,-999999999.0,-999999999.0,39045,63.5,4.0,8502,59.5,1.5,40434,75.7,3.3,"Whittier City Elementary School District, California",6,,Whittier City Elementary School District,642450,2018,42450.0,
6,7,9500000US0613500,54425,38.5,8.5,45342,39.7,7.9,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,18935,48.7,8.4,30653,32.5,9.4,38799,48.1,8.1,"Fallbrook Union Elementary School District, California",6,,Fallbrook Union Elementary School District,613500,2018,13500.0,
7,8,9500000US0620250,113134,61.5,4.0,83615,61.0,3.1,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,33339,67.4,2.7,58232,57.8,3.3,86313,74.9,3.8,"La Mesa-Spring Valley School District, California",6,,La Mesa-Spring Valley School District,620250,2018,20250.0,
8,9,9500000US0614370,70871,63.3,5.4,21874,61.5,4.1,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,31059,62.5,3.6,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,27418,67.8,4.7,-999999999,-999999999.0,-999999999.0,54795,75.2,4.4,"Franklin-McKinley Elementary School District, California",6,,Franklin-McKinley Elementary School District,614370,2018,14370.0,
9,10,9500000US0618870,81646,67.5,4.5,17826,59.9,7.1,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,49967,68.9,4.2,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,10523,53.7,10.3,62647,81.7,4.4,"Jefferson Elementary School District (San Mateo County), California",6,,Jefferson Elementary School District (San Mateo County),618870,2018,18870.0,
10,11,9500000US0602310,94329,64.4,4.8,23188,63.6,2.6,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,31425,61.9,3.0,-999999999,-999999999.0,-999999999.0,33388,67.4,7.9,-999999999,-999999999.0,-999999999.0,52386,67.1,5.9,6143,54.6,4.4,72389,77.4,4.7,"Alum Rock Union Elementary School District, California",6,,Alum Rock Union Elementary School District,602310,2018,2310.0,
11,12,9500000US0605910,-999999999,-999999999.0,-999999999.0,35836,58.4,4.4,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,29926,57.8,5.3,-999999999,-999999999.0,-999999999.0,"Brentwood Union Elementary School District, California",6,,Brentwood Union Elementary School District,605910,2018,5910.0,
12,13,9500000US0606810,131438,58.2,5.3,105200,57.7,5.8,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,27537,65.4,3.0,87395,55.8,6.5,99951,71.2,5.0,"Cajon Valley Union Elementary School District, California",6,,Cajon Valley Union Elementary School District,606810,2018,6810.0,
13,14,9500000US0641040,73301,47.6,8.8,46010,49.7,8.9,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,31682,48.9,8.2,22142,49.6,10.0,55510,59.8,6.9,"Victor Elementary School District, California",6,,Victor Elementary School District,641040,2018,41040.0,
14,15,9500000US0618030,70911,61.2,3.2,52538,61.5,3.5,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,48319,62.2,3.4,51451,77.8,2.8,"Huntington Beach City Elementary School District, California",6,,Huntington Beach City Elementary School District,618030,2018,18030.0,
15,16,9500000US0624540,76751,49.7,9.1,50455,47.6,9.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,23689,56.6,8.0,38037,45.6,7.7,54284,64.5,8.7,"Menifee Union School District, California",6,,Menifee Union School District,624540,2018,24540.0,
16,17,9500000US0633930,60096,59.3,5.5,23717,61.3,2.5,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,44501,60.8,6.4,10843,53.6,2.7,46128,70.9,6.0,"Salinas City Elementary School District, California",6,,Salinas City Elementary School District,633930,2018,33930.0,
17,18,9500000US0615510,68792,52.7,7.0,48447,54.7,6.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,10375,39.4,11.5,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,14447,61.6,5.4,40167,52.4,6.8,45873,68.8,5.4,"Goleta Union Elementary School District, California",6,,Goleta Union Elementary School District,615510,2018,15510.0,
18,19,9500000US0626280,-999999999,-999999999.0,-999999999.0,32285,71.3,3.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,26199,71.0,2.8,-999999999,-999999999.0,-999999999.0,"Mountain View Whisman Elementary School District, California",6,,Mountain View Whisman Elementary School District,626280,2018,26280.0,
19,20,9500000US0611850,66888,62.2,4.4,34534,60.0,6.5,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,42064,64.8,4.4,17326,58.5,4.5,50632,76.6,4.1,"East Whittier City Elementary School District, California",6,,East Whittier City Elementary School District,611850,2018,11850.0,
20,21,9500000US0605580,74528,64.0,5.7,61411,63.6,6.6,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,56372,68.6,5.9,12729,46.6,7.2,58123,74.2,6.2,"Santa Maria-Bonita Elementary School District, California",6,,Santa Maria-Bonita Elementary School District,605580,2018,5580.0,
