,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Total!!Estimate!!Hispanic or Latino origin (of any race),"Total!!Estimate!!White alone, not Hispanic or Latino",Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Employment/Population Ratio!!Estimate!!Hispanic or Latino origin (of any race),"Employment/Population Ratio!!Estimate!!White alone, not Hispanic or Latino",Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Unemployment rate!!Estimate!!Hispanic or Latino origin (of any race),"Unemployment rate!!Estimate!!White alone, not Hispanic or Latino",Unemployment rate!!Estimate!!Population 20 to 64 years,STATE,SCHOOL DISTRICT (UNIFIED),NCESDist,year
21,63126,23753,-999999999,-999999999,8237,-999999999,22163,-999999999,33446,14030,49141,56.2,54.1,-999999999.0,-999999999.0,62.3,-999999999.0,57.3,-999999999.0,55.8,55.3,67.9,7.0,8.1,-999999999.0,-999999999.0,4.4,-999999999.0,4.6,-999999999.0,6.3,8.9,6.5,06,04440,0604440,2016
22,106709,63871,10014,-999999999,23006,-999999999,-999999999,-999999999,-999999999,59177,76616,60.4,64.9,52.7,-999999999.0,49.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,65.6,73.7,4.6,4.1,6.1,-999999999.0,4.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.2,3.8,06,04740,0604740,2016
23,87626,61230,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,16577,53236,63485,58.4,56.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,59.5,57.5,74.4,7.3,8.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,13.1,6.3,6.3,06,06450,0606450,2016
24,283529,227701,-999999999,-999999999,24115,-999999999,-999999999,-999999999,46550,201419,212178,64.1,64.4,-999999999.0,-999999999.0,62.5,-999999999.0,-999999999.0,-999999999.0,66.7,64.1,77.1,4.4,4.1,-999999999.0,-999999999.0,3.7,-999999999.0,-999999999.0,-999999999.0,3.6,4.3,4.0,06,07440,0607440,2016
25,59274,50360,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,43756,44452,61.9,61.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,60.3,76.1,5.1,4.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.9,4.6,06,07500,0607500,2016
26,61319,33452,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,26298,16638,49564,60.2,58.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,63.1,54.7,70.4,9.3,8.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,8.8,10.3,9.1,06,07970,0607970,2016
27,92286,77882,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,13998,69370,69494,57.5,58.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,64.1,57.6,70.9,8.6,8.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,7.7,8.5,7.8,06,08370,0608370,2016
28,155255,78053,-999999999,-999999999,31170,-999999999,28408,-999999999,64949,47021,121643,53.5,56.5,-999999999.0,-999999999.0,53.6,-999999999.0,56.6,-999999999.0,55.9,55.1,63.8,6.1,5.9,-999999999.0,-999999999.0,6.0,-999999999.0,6.8,-999999999.0,7.1,5.1,5.4,06,08460,0608460,2016
29,159107,114713,-999999999,-999999999,20261,-999999999,-999999999,-999999999,39477,90807,119885,61.7,61.3,-999999999.0,-999999999.0,59.4,-999999999.0,-999999999.0,-999999999.0,65.7,60.0,74.5,6.0,5.9,-999999999.0,-999999999.0,5.8,-999999999.0,-999999999.0,-999999999.0,4.8,6.6,6.0,06,09030,0609030,2016
30,68438,27617,-999999999,-999999999,-999999999,-999999999,38235,-999999999,57304,9280,52056,55.5,50.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,59.1,-999999999.0,57.9,41.7,69.5,10.8,10.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,11.3,-999999999.0,11.5,6.5,10.0,06,09070,0609070,2016
