,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Total!!Estimate!!Hispanic or Latino origin (of any race),"Total!!Estimate!!White alone, not Hispanic or Latino",Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Employment/Population Ratio!!Estimate!!Hispanic or Latino origin (of any race),"Employment/Population Ratio!!Estimate!!White alone, not Hispanic or Latino",Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Unemployment rate!!Estimate!!Hispanic or Latino origin (of any race),"Unemployment rate!!Estimate!!White alone, not Hispanic or Latino",Unemployment rate!!Estimate!!Population 20 to 64 years,STATE,SCHOOL DISTRICT (ELEMENTARY),NCESDist,year
27,65989,33190,-999999999,-999999999,-999999999,-999999999,18836,-999999999,32254,22184,49845,43.1,41.3,-999999999,-999999999,-999999999,-999999999,48.3,-999999999,44.9,43,54.3,16.9,12.5,-999999999,-999999999,-999999999,-999999999,20.6,-999999999,20.5,11.4,13.5,06,24600,0624600,2015
28,88555,64444,-999999999,-999999999,-999999999,-999999999,10971,-999999999,41669,35863,68180,47.4,49,-999999999,-999999999,-999999999,-999999999,51.2,-999999999,52.8,45.1,57.8,17.4,14.6,-999999999,-999999999,-999999999,-999999999,21.1,-999999999,15.7,15.2,16.4,06,25130,0625130,2015
29,56070,33910,-999999999,-999999999,14638,-999999999,-999999999,-999999999,-999999999,28148,47644,73.9,74.3,-999999999,-999999999,73.6,-999999999,-999999999,-999999999,-999999999,72.4,82.3,3.4,3.7,-999999999,-999999999,4,-999999999,-999999999,-999999999,-999999999,4.1,3.2,06,26280,0626280,2015
30,54760,41013,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,14655,30128,40767,59.3,59.5,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,60.6,59.4,71.9,6.5,7.5,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,14,3.8,5.7,06,27180,0627180,2015
31,84558,42450,-999999999,-999999999,27965,-999999999,-999999999,-999999999,21101,30225,67959,63,63.5,-999999999,-999999999,61.4,-999999999,-999999999,-999999999,67.9,61.7,73.5,5.8,6,-999999999,-999999999,4.8,-999999999,-999999999,-999999999,4.8,6.5,6,06,27810,0627810,2015
32,78757,53529,-999999999,-999999999,12389,-999999999,-999999999,-999999999,-999999999,43974,58620,62.5,61.4,-999999999,-999999999,61.4,-999999999,-999999999,-999999999,-999999999,61.1,77.2,4.4,4.3,-999999999,-999999999,4.8,-999999999,-999999999,-999999999,-999999999,4.3,4,06,28140,0628140,2015
33,129456,52916,-999999999,-999999999,9394,-999999999,55290,-999999999,91550,21136,104639,61.1,57.4,-999999999,-999999999,52.4,-999999999,66.1,-999999999,64.1,51.5,71.7,6.8,7,-999999999,-999999999,6.7,-999999999,6.1,-999999999,6.6,6.2,6.3,06,28470,0628470,2015
34,92169,71697,-999999999,-999999999,-999999999,-999999999,6532,-999999999,64206,16648,71365,58.7,58.2,-999999999,-999999999,-999999999,-999999999,57.1,-999999999,60.9,47.2,70.6,7.9,7.5,-999999999,-999999999,-999999999,-999999999,13.2,-999999999,9,3.9,7.8,06,29220,0629220,2015
35,97970,42558,14505,-999999999,-999999999,-999999999,30345,-999999999,55081,19980,77561,50,48.7,39.9,-999999999,-999999999,-999999999,55.1,-999999999,53.7,46.9,60.7,11.8,11,25.5,-999999999,-999999999,-999999999,8.3,-999999999,8.9,11.3,10.4,06,29580,0629580,2015
36,63502,53388,-999999999,-999999999,5335,-999999999,-999999999,-999999999,13144,42781,43376,54.6,56.1,-999999999,-999999999,46.4,-999999999,-999999999,-999999999,60,54.7,71.5,5.7,4.4,-999999999,-999999999,9.5,-999999999,-999999999,-999999999,6.8,4.9,5.1,06,30990,0630990,2015
37,78634,50671,-999999999,-999999999,7944,-999999999,-999999999,-999999999,27345,39884,61606,64.3,64.4,-999999999,-999999999,63.2,-999999999,-999999999,-999999999,66.7,64,76.1,4.1,3.1,-999999999,-999999999,6.4,-999999999,-999999999,-999999999,4.2,2.8,4.2,06,32130,0632130,2015
38,73836,53303,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,12329,45630,55690,58.5,56.2,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,57.7,57.2,73.2,5.9,6,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,9,5,5.9,06,33600,0633600,2015
39,61449,35131,-999999999,-999999999,-999999999,-999999999,18426,-999999999,40717,14197,47089,56.4,55.3,-999999999,-999999999,-999999999,-999999999,65.2,-999999999,61.9,47.9,69,8.2,6,-999999999,-999999999,-999999999,-999999999,8,-999999999,7.1,6.4,7.1,06,33930,0633930,2015
40,110570,60447,-999999999,-999999999,34409,-999999999,-999999999,-999999999,19194,49407,84836,66.6,66.2,-999999999,-999999999,66.1,-999999999,-999999999,-999999999,70,65.3,80.4,3.9,3.2,-999999999,-999999999,4.4,-999999999,-999999999,-999999999,5,2.8,3.8,06,34920,0634920,2015
41,59554,45358,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,36859,42245,52.6,55.7,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,55,65,7,6.3,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,6.5,4.9,06,35590,0635590,2015
42,64062,46917,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,35490,49729,63.3,61,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,59.5,74.2,7.5,6.6,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,4.1,6.2,06,35810,0635810,2015
43,85220,62468,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,21149,46073,67333,66.9,67.3,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,67.9,67,79.3,5.2,5.3,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,5,5.1,4.5,06,35970,0635970,2015
44,68743,51827,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,44891,12616,53468,53.8,54.8,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,57,50.2,63.7,11.3,10.8,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,10.7,10.3,11.1,06,37380,0637380,2015
45,51930,35999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,17626,24453,41064,66.6,66.6,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,66.5,65.6,79.9,7,7.8,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,8.5,7.2,6.9,06,38220,0638220,2015
46,73639,31858,-999999999,-999999999,31669,-999999999,-999999999,-999999999,14234,24215,60969,69.3,69.8,-999999999,-999999999,67.4,-999999999,-999999999,-999999999,78.6,67.2,79.7,4.9,3.5,-999999999,-999999999,5.6,-999999999,-999999999,-999999999,2.1,4,4.9,06,38460,0638460,2015
47,57252,46005,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,17307,30887,43733,58.4,58.3,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,60.4,57.7,69.7,7.8,8.9,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,12.1,6.8,7.7,06,38670,0638670,2015
48,73021,55487,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,33516,27160,54985,44.4,45,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,45.3,44.1,55.4,19.6,19,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,21.4,15.9,17,06,41040,0641040,2015
49,59551,41378,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,33159,46517,51,53.9,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,56.7,61,8.4,6.4,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,5.6,7.2,06,42120,0642120,2015
50,68232,28444,-999999999,-999999999,27501,-999999999,-999999999,-999999999,-999999999,21409,50347,58.4,64.7,-999999999,-999999999,53.2,-999999999,-999999999,-999999999,-999999999,60.8,73.9,5.6,5,-999999999,-999999999,6.7,-999999999,-999999999,-999999999,-999999999,5.5,5.3,06,42150,0642150,2015
51,56985,26705,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,43281,9983,43769,60.6,59.3,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,62.2,54.9,74.4,5.1,5.2,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,5.1,5.4,4.8,06,42450,0642450,2015
