,Geography,NAME,Estimate!!Total!!Population 16 years and over,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),"Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",Estimate!!Total!!Population 20 to 64 years,Estimate!!Employment/Population Ratio!!Population 16 years and over,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),"Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",Estimate!!Employment/Population Ratio!!Population 20 to 64 years,Estimate!!Unemployment rate!!Population 16 years and over,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),"Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",Estimate!!Unemployment rate!!Population 20 to 64 years,STATE,SCHOOL DISTRICT (SECONDARY),District,NCESDist,year
21,9600000US0636600,"Shasta Union High School District, California",82127,70072,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,65299,56769,55.0,54.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,55.1,72.0,4.5,4.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.2,4.2,06,36600,Shasta Union High School District,0636600,2019
22,9600000US0636972,"Victor Valley Union High School District, California",120240,77087,18036,-999999999,-999999999,-999999999,-999999999,-999999999,66593,28070,96295,47.0,46.6,37.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,52.4,38.7,56.6,12.5,12.9,24.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,9.7,15.5,10.9,06,36972,Victor Valley Union High School District,0636972,2019
23,9600000US0638640,"Sweetwater Union High School District, California",397443,265256,21183,-999999999,62919,-999999999,29314,14277,239730,67805,303270,55.8,56.8,43.1,-999999999.0,54.9,-999999999.0,58.0,59.3,59.1,49.1,67.5,9.6,10.4,11.9,-999999999.0,5.4,-999999999.0,8.9,11.1,11.0,6.9,8.6,06,38640,Sweetwater Union High School District,0638640,2019
24,9600000US0638790,"Tamalpais Union High School District, California",95653,81960,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,78050,64005,62.0,61.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,60.4,80.0,3.4,3.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.9,3.3,06,38790,Tamalpais Union High School District,0638790,2019
25,9600000US0639930,"Tulare Joint Union High School District, California",55901,47237,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,35170,18184,42686,57.7,56.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,58.1,54.7,70.7,6.1,6.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,6.0,5.9,5.4,06,39930,Tulare Joint Union High School District,0639930,2019
26,9600000US0642480,"Whittier Union High School District, California",171938,83386,-999999999,-999999999,11466,-999999999,64537,-999999999,123707,29384,129309,60.3,58.0,-999999999.0,-999999999.0,60.9,-999999999.0,63.7,-999999999.0,64.3,46.4,74.2,3.5,3.5,-999999999.0,-999999999.0,7.9,-999999999.0,2.3,-999999999.0,3.0,3.5,3.0,06,42480,Whittier Union High School District,0642480,2019
27,9600000US0642510,"William S. Hart Union High School District, California",208779,146022,12850,-999999999,23596,-999999999,15850,-999999999,64929,100245,159685,61.2,60.6,61.3,-999999999.0,61.3,-999999999.0,69.1,-999999999.0,62.7,60.2,73.5,3.6,3.4,5.3,-999999999.0,3.8,-999999999.0,4.2,-999999999.0,2.3,4.0,3.4,06,42510,William S. Hart Union High School District,0642510,2019
28,9600000US0610860,"Delano Joint Union High School District, California",-999999999,42066,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,43489,-999999999,-999999999,-999999999.0,55.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,57.8,-999999999.0,-999999999.0,-999999999.0,4.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.8,-999999999.0,-999999999.0,06,10860,Delano Joint Union High School District,0610860,2019
29,9600000US0611820,"East Side Union High School District, California",445625,147815,8889,-999999999,213353,-999999999,55648,16318,145908,66330,342632,65.7,63.3,67.1,-999999999.0,66.3,-999999999.0,68.0,70.3,68.0,58.7,79.2,4.5,3.2,5.9,-999999999.0,4.7,-999999999.0,6.3,7.3,4.4,3.5,4.5,06,11820,East Side Union High School District,0611820,2019
30,9600000US0612070,"El Dorado Union High School District, California",118439,104551,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,96517,78822,54.5,53.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,53.9,73.4,4.1,4.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.7,4.3,06,12070,El Dorado Union High School District,0612070,2019
