,Geography,Estimate!!Total!!Population 16 years and over,Estimate!!Employment/Population Ratio!!Population 16 years and over,Estimate!!Unemployment rate!!Population 16 years and over,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),"Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino","Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino","Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",Estimate!!Total!!Population 20 to 64 years,Estimate!!Employment/Population Ratio!!Population 20 to 64 years,Estimate!!Unemployment rate!!Population 20 to 64 years,NAME,STATE,SCHOOL DISTRICT (ELEMENTARY),District,NCESDist,year
21,9500000US0605580,74528,64.0,5.7,61411,63.6,6.6,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,56372,68.6,5.9,12729,46.6,7.2,58123,74.2,6.2,"Santa Maria-Bonita Elementary School District, California",06,05580,Santa Maria-Bonita Elementary School District,0605580,2018
22,9500000US0617850,50895,61.5,7.1,40725,62.5,6.4,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,35921,65.8,7.2,8669,45.9,7.3,42008,69.9,7.3,"Hueneme Elementary School District, California",06,17850,Hueneme Elementary School District,0617850,2018
23,9500000US0635590,58345,56.4,7.7,40852,58.7,5.4,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,35760,59.4,5.0,39320,69.7,5.5,"Santa Cruz City Elementary School District, California",06,35590,Santa Cruz City Elementary School District,0635590,2018
24,9500000US0623430,53245,61.2,5.2,29879,64.6,5.2,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,13383,45.9,8.4,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,24132,68.7,6.2,11533,58.7,2.8,40929,72.5,5.1,"Magnolia Elementary School District, California",06,23430,Magnolia Elementary School District,0623430,2018
25,9500000US0635970,81398,67.2,5.1,59725,66.1,5.7,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,10771,66.0,2.7,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,20098,70.9,6.5,46830,65.9,4.5,64879,77.6,4.8,"Saugus Union Elementary School District, California",06,35970,Saugus Union Elementary School District,0635970,2018
26,9500000US0629580,96833,55.1,7.5,38807,51.2,9.4,12849,43.0,11.3,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,37308,61.7,5.5,-999999999,-999999999.0,-999999999.0,59416,60.0,6.5,19539,45.7,11.4,73295,68.2,6.6,"Palmdale Elementary School District, California",06,29580,Palmdale Elementary School District,0629580,2018
27,9500000US0638220,48889,64.4,6.1,34278,64.0,6.2,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,20769,63.5,4.7,38224,73.3,6.6,"Sulphur Springs Union Elementary School District, California",06,38220,Sulphur Springs Union Elementary School District,0638220,2018
28,9500000US0614730,96656,62.7,5.7,56753,61.4,4.2,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,24044,64.6,6.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,31062,67.9,4.7,37005,58.1,3.3,74444,75.5,5.0,"Fullerton Elementary School District, California",06,14730,Fullerton Elementary School District,0614730,2018
29,9500000US0604800,70474,66.5,4.9,13563,58.3,3.2,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,46522,68.5,5.5,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,55776,77.9,4.7,"Berryessa Union Elementary School District, California",06,04800,Berryessa Union Elementary School District,0604800,2018
30,9500000US0607200,76267,67.0,3.0,49587,64.9,2.2,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,16716,66.2,4.5,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,40129,62.9,2.1,59668,80.4,2.9,"Campbell Union Elementary School District, California",06,07200,Campbell Union Elementary School District,0607200,2018
