,District,year,ENR_TOTAL,Percent Change,NCESDist
21014,Scotts Valley Unified,2015,2543,,0600043
75266,Scotts Valley Unified,2016,2502,-1.6122689736531655,0600043
105775,Scotts Valley Unified,2017,2467,-1.3988808952837728,0600043
154869,Scotts Valley Unified,2018,2418,-1.986218078638022,0600043
185243,Scotts Valley Unified,2019,2711,12.117452440033086,0600043
31038,Orland Joint Unified,2015,2183,,0600045
53674,Orland Joint Unified,2016,2201,0.8245533669262484,0600045
99103,Orland Joint Unified,2017,2241,1.8173557473875512,0600045
176246,Orland Joint Unified,2018,2263,0.9817045961624274,0600045
221373,Orland Joint Unified,2019,2231,-1.4140521431727795,0600045
16151,Gonzales Unified,2015,2423,,0600046
50865,Gonzales Unified,2016,2424,0.04127115146512588,0600046
134553,Gonzales Unified,2017,2371,-2.186468646864687,0600046
175760,Gonzales Unified,2018,2369,-0.08435259384226065,0600046
199760,Gonzales Unified,2019,2344,-1.0552975939214857,0600046
29500,Tracy Joint Unified,2015,16701,,0600047
63496,Tracy Joint Unified,2016,16413,-1.7244476378659959,0600047
122070,Tracy Joint Unified,2017,16218,-1.1880826174373973,0600047
162397,Tracy Joint Unified,2018,15904,-1.9361203600937231,0600047
182010,Tracy Joint Unified,2019,15829,-0.47157947686116697,0600047
32163,Paso Robles Joint Unified,2015,6710,,0600048
52313,Paso Robles Joint Unified,2016,6811,1.5052160953800298,0600048
102290,Paso Robles Joint Unified,2017,6871,0.8809279107326383,0600048
177536,Paso Robles Joint Unified,2018,6844,-0.3929559016154853,0600048
221044,Paso Robles Joint Unified,2019,6867,0.3360607831677382,0600048
14782,Coast Unified,2015,694,,0600049
70576,Coast Unified,2016,649,-6.484149855907781,0600049
122901,Coast Unified,2017,606,-6.6255778120184905,0600049
143274,Coast Unified,2018,561,-7.425742574257425,0600049
203445,Coast Unified,2019,582,3.7433155080213902,0600049
16555,Gridley Unified,2015,2066,,0600051
49716,Gridley Unified,2016,2018,-2.3233301064859635,0600051
115317,Gridley Unified,2017,2056,1.8830525272547076,0600051
177226,Gridley Unified,2018,2082,1.264591439688716,0600051
190289,Gridley Unified,2019,2087,0.24015369836695488,0600051
18801,Eureka City Schools,2015,3670,,0600052
73170,Eureka City Schools,2016,3713,1.1716621253405994,0600052
120128,Eureka City Schools,2017,3869,4.201454349582548,0600052
140928,Eureka City Schools,2018,3776,-2.403721891961747,0600052
208547,Eureka City Schools,2019,3807,0.8209745762711865,0600052
43737,Caruthers Unified,2015,1423,,0600067
74112,Caruthers Unified,2016,1442,1.3352073085031624,0600067
111607,Caruthers Unified,2017,1450,0.5547850208044383,0600067
153507,Caruthers Unified,2018,1508,4.0,0600067
199824,Caruthers Unified,2019,1548,2.6525198938992043,0600067
16215,Golden Valley Unified,2015,1880,,0600068
70291,Golden Valley Unified,2016,1875,-0.26595744680851063,0600068
135136,Golden Valley Unified,2017,1940,3.4666666666666663,0600068
175070,Golden Valley Unified,2018,2007,3.4536082474226806,0600068
205634,Golden Valley Unified,2019,2021,0.6975585450921774,0600068
28250,Valley Center-Pauma Unified,2015,4083,,0600069
47569,Valley Center-Pauma Unified,2016,4063,-0.48983590497183443,0600069
118405,Valley Center-Pauma Unified,2017,4004,-1.4521289687423087,0600069
180678,Valley Center-Pauma Unified,2018,4029,0.6243756243756244,0600069
183751,Valley Center-Pauma Unified,2019,3941,-2.1841648051625713,0600069
14476,Chawanakee Unified,2015,1075,,0600116
86534,Chawanakee Unified,2016,1054,-1.9534883720930232,0600116
124175,Chawanakee Unified,2017,1086,3.0360531309297913,0600116
147257,Chawanakee Unified,2018,1326,22.099447513812155,0600116
202297,Chawanakee Unified,2019,1423,7.315233785822022,0600116
42425,Alhambra Unified,2015,17255,,0600153
65895,Alhambra Unified,2016,17024,-1.3387423935091278,0600153
119192,Alhambra Unified,2017,16794,-1.351033834586466,0600153
171455,Alhambra Unified,2018,16462,-1.9768965106585683,0600153
184387,Alhambra Unified,2019,16194,-1.6279917385493863,0600153
21035,Scott Valley Unified,2015,647,,0600159
72960,Scott Valley Unified,2016,655,1.2364760432766615,0600159
105554,Scott Valley Unified,2017,684,4.427480916030534,0600159
155115,Scott Valley Unified,2018,668,-2.3391812865497075,0600159
184482,Scott Valley Unified,2019,678,1.4970059880239521,0600159
27739,Yosemite Unified,2015,2040,,0600160
88747,Yosemite Unified,2016,2188,7.254901960784315,0600160
121980,Yosemite Unified,2017,2176,-0.5484460694698354,0600160
149426,Yosemite Unified,2018,2060,-5.330882352941177,0600160
183145,Yosemite Unified,2019,2034,-1.262135922330097,0600160
36008,SBC - High Tech High,2015,2505,,0601322
75287,SBC - High Tech High,2016,2485,-0.7984031936127743,0601322
110060,SBC - High Tech High,2017,2501,0.6438631790744467,0601322
150652,SBC - High Tech High,2018,2529,1.1195521791283487,0601322
210000,SBC - High Tech High,2019,3047,20.48240411229735,0601322
30187,Twin Rivers Unified,2015,31064,,0601332
67921,Twin Rivers Unified,2016,31900,2.6912181303116145,0601332
114229,Twin Rivers Unified,2017,32443,1.7021943573667713,0601332
157882,Twin Rivers Unified,2018,31426,-3.1347286009308633,0601332
187129,Twin Rivers Unified,2019,32902,4.696747915738561,0601332
17499,Hamilton Unified,2015,738,,0601339
53659,Hamilton Unified,2016,697,-5.555555555555555,0601339
