,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Total!!Estimate!!Hispanic or Latino origin (of any race),"Total!!Estimate!!White alone, not Hispanic or Latino",Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Employment/Population Ratio!!Estimate!!Hispanic or Latino origin (of any race),"Employment/Population Ratio!!Estimate!!White alone, not Hispanic or Latino",Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Unemployment rate!!Estimate!!Hispanic or Latino origin (of any race),"Unemployment rate!!Estimate!!White alone, not Hispanic or Latino",Unemployment rate!!Estimate!!Population 20 to 64 years,STATE,SCHOOL DISTRICT (ELEMENTARY),NCESDist,year
21,57771,17019,-999999999,-999999999,-999999999,-999999999,21944,-999999999,35557,-999999999,48383,65.8,57.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,70.6,-999999999.0,67.7,-999999999.0,75.8,5.7,7.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.4,-999999999.0,5.7,-999999999.0,5.7,06,16680,0616680,2016
22,71164,57833,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,53660,51979,63.1,63.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,64.5,79.2,2.4,1.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,1.6,2.2,06,18030,0618030,2016
23,78390,16209,-999999999,-999999999,49566,-999999999,-999999999,-999999999,15111,10593,60117,65.6,61.1,-999999999.0,-999999999.0,68.7,-999999999.0,-999999999.0,-999999999.0,58.6,63.9,78.3,6.0,4.4,-999999999.0,-999999999.0,4.0,-999999999.0,-999999999.0,-999999999.0,12.3,5.7,6.4,06,18870,0618870,2016
24,110199,78489,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,31319,56823,85135,58.6,59.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,67.2,55.9,71.7,8.0,7.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,8.8,6.7,8.2,06,20250,0620250,2016
25,92528,59202,19808,-999999999,-999999999,-999999999,-999999999,-999999999,33370,33214,72556,48.1,52.1,34.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,50.0,53.8,56.5,6.2,4.1,14.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.4,5.6,6.2,06,20880,0620880,2016
26,47539,29867,-999999999,-999999999,10760,-999999999,-999999999,-999999999,22115,12107,38437,59.4,57.8,-999999999.0,-999999999.0,60.9,-999999999.0,-999999999.0,-999999999.0,61.2,55.1,70.4,6.1,6.5,-999999999.0,-999999999.0,2.3,-999999999.0,-999999999.0,-999999999.0,9.1,5.0,6.4,06,23430,0623430,2016
27,69912,44085,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,36089,47524,51.3,50.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,48.0,68.2,7.5,8.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,7.7,5.1,06,24540,0624540,2016
28,66490,37468,-999999999,-999999999,-999999999,-999999999,12627,-999999999,30469,20789,50611,50.2,50.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,48.6,-999999999.0,47.2,54.4,61.6,14.9,13.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,18.0,-999999999.0,18.1,9.0,12.7,06,24600,0624600,2016
29,86082,63779,-999999999,-999999999,-999999999,-999999999,12431,-999999999,42789,35684,66370,51.1,52.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,55.8,-999999999.0,56.2,47.9,62.5,12.2,10.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,16.2,-999999999.0,12.1,11.8,12.1,06,25130,0625130,2016
30,55667,29774,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,26181,45838,68.3,68.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,70.1,79.3,3.7,2.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,2.6,3.6,06,26280,0626280,2016
31,60408,45495,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,17506,32804,43952,60.4,62.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,63.8,61.1,74.1,7.8,6.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,10.8,4.6,7.8,06,27180,0627180,2016
32,86808,44931,-999999999,-999999999,20491,-999999999,-999999999,-999999999,30268,31269,70407,68.7,68.8,-999999999.0,-999999999.0,70.2,-999999999.0,-999999999.0,-999999999.0,70.0,65.5,79.4,5.1,4.2,-999999999.0,-999999999.0,2.2,-999999999.0,-999999999.0,-999999999.0,7.8,5.1,5.0,06,27810,0627810,2016
33,82822,55465,-999999999,-999999999,12457,-999999999,-999999999,-999999999,-999999999,47605,62155,63.5,61.7,-999999999.0,-999999999.0,59.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,60.1,77.4,5.3,4.2,-999999999.0,-999999999.0,9.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.4,5.3,06,28140,0628140,2016
34,133468,64411,6905,-999999999,9879,-999999999,46804,-999999999,95660,19048,108055,58.0,57.9,53.8,-999999999.0,59.5,-999999999.0,58.4,-999999999.0,59.1,52.1,67.4,10.1,8.5,6.6,-999999999.0,4.9,-999999999.0,12.8,-999999999.0,11.6,5.3,9.3,06,28470,0628470,2016
35,96238,72858,-999999999,-999999999,-999999999,-999999999,11399,-999999999,65449,20949,74235,62.6,63.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,63.7,-999999999.0,65.7,57.4,76.1,6.5,5.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,6.0,-999999999.0,5.2,7.7,6.0,06,29220,0629220,2016
36,95250,43294,9895,-999999999,-999999999,-999999999,32715,-999999999,59811,19730,74986,51.1,51.3,39.9,-999999999.0,-999999999.0,-999999999.0,54.6,-999999999.0,53.1,50.9,61.4,9.3,8.4,19.3,-999999999.0,-999999999.0,-999999999.0,6.7,-999999999.0,7.7,7.8,8.5,06,29580,0629580,2016
37,65078,52254,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,41141,44229,60.3,58.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,56.3,78.1,3.7,3.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.9,3.0,06,30990,0630990,2016
38,85170,54967,-999999999,-999999999,-999999999,-999999999,16964,-999999999,35831,38557,69133,68.8,66.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,73.9,-999999999.0,73.6,63.6,79.0,2.4,3.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,1.3,-999999999.0,1.3,3.8,2.0,06,32130,0632130,2016
39,75263,58540,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,53443,55151,58.1,58.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,58.0,73.3,5.1,3.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.3,4.6,06,33600,0633600,2016
