,District,Year,Total Enrollment,Percent Change,NCESDist,School District Type,"Population, 16+","Employment Ratio, 16+","Unemployment Rate, 16+","Population, 20-64","Employment Ratio, 20-64","Unemployment Rate, 20-64"
103,Antelope Valley Union High,2016,23872,-0.9213912177305552,602820,Secondary,287277.0,49.5,7.9,224249.0,59.5,7.4
104,Antelope Valley Union High,2017,22693,-4.938840482573727,602820,Secondary,289577.0,51.1,6.5,226691.0,61.3,6.3
105,Antelope Valley Union High,2018,22442,-1.1060679504693078,602820,Secondary,283465.0,50.9,6.9,213664.0,63.0,6.4
106,Antelope Valley Union High,2019,22532,0.4010337759557971,602820,Secondary,292413.0,52.0,6.4,223546.0,63.7,6.2
107,Antioch Unified,2015,17690,,602850,Unified,87714.0,57.3,7.5,69094.0,66.7,7.6
108,Antioch Unified,2016,17183,-2.866026003391746,602850,Unified,91087.0,59.1,6.4,70484.0,71.5,6.0
109,Antioch Unified,2017,17052,-0.762381423499971,602850,Unified,88802.0,58.3,9.3,68925.0,70.6,8.3
110,Antioch Unified,2018,17025,-0.1583391977480647,602850,Unified,87452.0,59.4,6.8,65814.0,70.8,6.9
111,Antioch Unified,2019,17008,-0.0998531571218796,602850,Unified,94744.0,57.3,9.3,71272.0,70.5,8.5
112,Azusa Unified,2015,8865,,603600,Unified,57942.0,56.9,9.2,46028.0,66.7,8.1
113,Azusa Unified,2016,8756,-1.2295544275239707,603600,Unified,56367.0,61.5,6.9,45050.0,72.0,5.6
114,Azusa Unified,2017,8253,-5.744632252169941,603600,Unified,58055.0,60.8,5.4,44380.0,73.2,5.2
115,Azusa Unified,2018,7979,-3.320004846722404,603600,Unified,56620.0,61.6,4.2,44974.0,71.9,3.6
116,Azusa Unified,2019,7701,-3.484145882942725,603600,Unified,55367.0,62.4,4.6,43669.0,73.2,4.1
117,Bakersfield City,2015,30222,,603630,Elementary,146865.0,54.3,13.7,113489.0,64.9,13.2
118,Bakersfield City,2016,30372,0.4963271788763153,603630,Elementary,135056.0,51.2,13.1,104300.0,60.8,12.6
119,Bakersfield City,2017,30699,1.0766495456341367,603630,Elementary,138323.0,50.9,12.2,105055.0,61.7,10.3
120,Bakersfield City,2018,30782,0.2703671129352747,603630,Elementary,140021.0,55.0,10.4,110388.0,63.9,10.5
121,Bakersfield City,2019,30793,0.0357351699044896,603630,Elementary,138160.0,52.8,8.5,105814.0,65.1,7.9
122,Baldwin Park Unified,2015,18346,,603690,Unified,59558.0,56.3,4.6,45306.0,68.1,4.8
123,Baldwin Park Unified,2016,17673,-3.668374577564592,603690,Unified,58339.0,61.9,4.9,46358.0,74.1,4.3
124,Baldwin Park Unified,2017,16625,-5.929949640694845,603690,Unified,61282.0,62.8,5.5,47925.0,75.7,5.5
125,Baldwin Park Unified,2018,15874,-4.5172932330827065,603690,Unified,61264.0,60.9,7.0,47919.0,73.3,6.4
126,Baldwin Park Unified,2019,15221,-4.113644954012851,603690,Unified,58703.0,60.7,6.4,45706.0,73.9,5.8
127,Beaumont Unified,2018,10715,4.089761025840295,604290,Unified,50539.0,56.1,3.4,34450.0,74.2,3.6
128,Beaumont Unified,2019,14696,37.1535230984601,604290,Unified,51789.0,50.6,8.6,33951.0,67.5,9.3
129,Bellflower Unified,2015,12663,,604440,Unified,65930.0,54.1,5.6,49513.0,68.2,4.4
130,Bellflower Unified,2016,12283,-3.0008686725104634,604440,Unified,63126.0,56.2,7.0,49141.0,67.9,6.5
131,Bellflower Unified,2017,11923,-2.930880078156802,604440,Unified,66270.0,63.0,5.8,51232.0,77.3,4.6
132,Bellflower Unified,2018,11659,-2.2142078335989264,604440,Unified,63419.0,64.8,7.6,51956.0,75.6,7.3
133,Bellflower Unified,2019,11347,-2.6760442576550303,604440,Unified,64737.0,62.1,4.5,48964.0,77.6,3.3
134,Berkeley Unified,2015,10437,,604740,Unified,107090.0,59.2,7.0,77909.0,71.3,6.6
135,Berkeley Unified,2016,10225,-2.0312350292229566,604740,Unified,106709.0,60.4,4.6,76616.0,73.7,3.8
136,Berkeley Unified,2017,10310,0.8312958435207823,604740,Unified,107304.0,58.7,5.5,77688.0,70.1,5.6
137,Berkeley Unified,2018,10154,-1.513094083414161,604740,Unified,109560.0,58.1,3.9,79537.0,69.6,3.6
138,Berkeley Unified,2019,9801,-3.4764624778412445,604740,Unified,109524.0,57.9,6.0,77229.0,72.7,5.3
139,Berryessa Union Elementary,2015,7446,,604800,Elementary,64015.0,60.1,6.7,50104.0,71.7,6.4
140,Berryessa Union Elementary,2016,7292,-2.06822455009401,604800,Elementary,68849.0,62.2,6.8,53950.0,74.4,6.6
141,Berryessa Union Elementary,2017,7097,-2.6741634668129457,604800,Elementary,66868.0,61.7,5.2,50046.0,76.9,5.0
142,Berryessa Union Elementary,2018,6982,-1.6204029871776808,604800,Elementary,70474.0,66.5,4.9,55776.0,77.9,4.7
143,Berryessa Union Elementary,2019,6836,-2.0910913778287026,604800,Elementary,72819.0,67.3,5.7,57164.0,80.0,5.5
144,Santa Maria-Bonita,2015,16584,,605580,Elementary,74714.0,64.4,6.5,58556.0,75.3,6.6
145,Santa Maria-Bonita,2016,16868,1.7124939700916546,605580,Elementary,78600.0,64.2,3.9,61660.0,76.7,3.6
146,Santa Maria-Bonita,2017,17122,1.5058098174057388,605580,Elementary,78914.0,63.3,4.6,62794.0,73.7,4.6
147,Santa Maria-Bonita,2018,16940,-1.062959934587081,605580,Elementary,74528.0,64.0,5.7,58123.0,74.2,6.2
148,Santa Maria-Bonita,2019,16959,0.1121605667060212,605580,Elementary,72870.0,62.9,5.2,55300.0,74.8,5.0
149,Brentwood Union Elementary,2017,9027,1.5296367112810707,605910,Elementary,,,,,,
150,Brentwood Union Elementary,2018,9165,1.5287470920571615,605910,Elementary,,,,,,
151,Brentwood Union Elementary,2019,9276,1.2111292962356792,605910,Elementary,,,,,,
