,District,Year,Total Enrollment,Percent Change,NCESDist,School District Type,"Population, 16+","Employment Ratio, 16+","Unemployment Rate, 16+","Population, 20-64","Employment Ratio, 20-64","Unemployment Rate, 20-64"
235,Compton Unified,2018,22956,-2.995985632791042,609620,Unified,116063.0,52.6,7.8,91468.0,63.1,7.3
236,Compton Unified,2019,23106,0.6534239414532148,609620,Unified,116144.0,56.8,8.8,89464.0,68.9,8.4
237,Corona-Norco Unified,2015,53313,,609850,Unified,212270.0,61.2,7.3,168976.0,72.6,6.1
238,Corona-Norco Unified,2016,53119,-0.3638887325792958,609850,Unified,221646.0,60.8,6.0,176423.0,71.7,5.5
239,Corona-Norco Unified,2017,53219,0.1882565560345639,609850,Unified,221791.0,61.9,5.0,173109.0,74.2,4.6
240,Corona-Norco Unified,2018,52877,-0.6426276329882185,609850,Unified,218108.0,61.9,3.2,171166.0,74.1,2.9
241,Corona-Norco Unified,2019,52447,-0.8132080110444995,609850,Unified,228325.0,63.1,3.9,183412.0,74.0,3.7
242,Covina-Valley Unified,2015,11906,,610050,Unified,61965.0,61.1,6.2,46541.0,76.0,5.5
243,Covina-Valley Unified,2016,11909,0.0251973794725348,610050,Unified,65755.0,63.3,4.9,49766.0,79.1,4.5
244,Covina-Valley Unified,2017,11833,-0.6381728104794694,610050,Unified,66030.0,59.9,7.3,49623.0,74.2,6.5
245,Covina-Valley Unified,2018,11684,-1.25919039972957,610050,Unified,62056.0,62.1,4.8,46466.0,76.6,4.4
246,Covina-Valley Unified,2019,11628,-0.4792879150975693,610050,Unified,57184.0,62.6,3.3,42055.0,79.2,3.1
247,Cupertino Union,2015,18939,,610290,Elementary,113387.0,60.2,5.5,87271.0,74.7,5.4
248,Cupertino Union,2016,18590,-1.8427583293732508,610290,Elementary,113102.0,60.0,3.7,85730.0,73.4,3.7
249,Cupertino Union,2017,18003,-3.157611619150081,610290,Elementary,118184.0,62.1,3.7,89246.0,76.8,3.8
250,Cupertino Union,2018,17351,-3.621618619119036,610290,Elementary,109484.0,60.7,2.6,82652.0,75.5,2.5
251,Cupertino Union,2019,16705,-3.723128349951012,610290,Elementary,111391.0,60.2,2.2,81455.0,76.6,2.3
252,Delano Joint Union High,2015,4205,,610860,Secondary,51275.0,47.9,14.7,40024.0,58.2,14.6
253,Delano Joint Union High,2016,4224,0.4518430439952438,610860,Secondary,51366.0,41.0,16.1,41758.0,47.6,16.0
254,Delano Joint Union High,2017,4314,2.130681818181818,610860,Secondary,53777.0,48.2,14.1,43607.0,55.6,13.8
255,Delano Joint Union High,2018,4219,-2.202132591562355,610860,Secondary,53770.0,44.8,10.9,43248.0,52.8,10.9
256,Delano Joint Union High,2019,4263,1.042901161412657,610860,Secondary,,,,,,
257,Desert Sands Unified,2015,28719,,611110,Unified,156969.0,52.0,7.4,96812.0,74.3,6.6
258,Desert Sands Unified,2016,28958,0.8322016783314182,611110,Unified,156428.0,48.5,7.2,97205.0,68.7,6.6
259,Desert Sands Unified,2017,28708,-0.863319290006216,611110,Unified,162618.0,48.9,7.2,102451.0,66.8,7.2
260,Desert Sands Unified,2018,28610,-0.3413682597185453,611110,Unified,166990.0,46.8,10.7,104703.0,67.2,10.4
261,Desert Sands Unified,2019,27962,-2.264942327857393,611110,Unified,160947.0,49.6,4.7,96234.0,72.7,5.0
262,Downey Unified,2015,22581,,611460,Unified,101456.0,60.3,5.3,79868.0,72.6,4.7
263,Downey Unified,2016,22219,-1.6031176652938313,611460,Unified,95735.0,64.3,5.7,74507.0,77.2,5.4
264,Downey Unified,2017,21888,-1.489716008821279,611460,Unified,97028.0,61.1,6.4,75937.0,73.5,6.0
265,Downey Unified,2018,21995,0.4888523391812865,611460,Unified,95139.0,63.1,4.8,73035.0,76.9,4.0
266,Downey Unified,2019,22043,0.2182314162309615,611460,Unified,94466.0,63.3,4.0,72103.0,75.6,3.7
267,East Side Union High,2015,26614,,611820,Secondary,438275.0,61.4,6.9,343685.0,73.6,6.4
268,East Side Union High,2016,26975,1.356428947170662,611820,Secondary,440448.0,63.6,6.2,344261.0,75.8,6.0
269,East Side Union High,2017,27208,0.8637627432808156,611820,Secondary,442231.0,64.1,4.7,343077.0,77.1,4.4
270,East Side Union High,2018,26517,-2.5396942075860043,611820,Secondary,442275.0,64.6,4.6,342995.0,77.4,4.4
271,East Side Union High,2019,26300,-0.8183429498057849,611820,Secondary,445625.0,65.7,4.5,342632.0,79.2,4.5
272,East Whittier City Elementary,2015,8830,,611850,Elementary,61301.0,59.7,6.3,47618.0,72.5,6.5
273,East Whittier City Elementary,2016,8768,-0.7021517553793885,611850,Elementary,56885.0,58.8,6.6,44785.0,70.0,6.1
274,East Whittier City Elementary,2017,8594,-1.9844890510948905,611850,Elementary,54905.0,60.5,2.9,40168.0,76.6,2.9
275,East Whittier City Elementary,2018,8509,-0.9890621363742146,611850,Elementary,66888.0,62.2,4.4,50632.0,76.6,4.1
276,East Whittier City Elementary,2019,8399,-1.2927488541544248,611850,Elementary,57575.0,61.6,3.1,44605.0,75.2,3.1
277,El Dorado Union High,2015,6674,,612070,Secondary,120392.0,52.9,8.5,84541.0,68.0,8.0
278,El Dorado Union High,2016,6630,-0.6592747977225052,612070,Secondary,115181.0,52.1,5.3,79678.0,67.9,5.2
279,El Dorado Union High,2017,6643,0.196078431372549,612070,Secondary,120006.0,51.6,3.5,82781.0,67.0,3.0
280,El Dorado Union High,2018,6715,1.083847659190125,612070,Secondary,119878.0,55.5,4.2,80322.0,72.7,4.6
281,El Dorado Union High,2019,6783,1.0126582278481011,612070,Secondary,118439.0,54.5,4.1,78822.0,73.4,4.3
282,El Monte City,2015,8709,,612090,Elementary,65451.0,51.2,5.6,49049.0,65.4,5.5
283,El Monte City,2016,8453,-2.9394878860948443,612090,Elementary,70873.0,54.5,5.4,52959.0,68.7,5.3
284,El Monte City,2017,8233,-2.602626286525494,612090,Elementary,66372.0,58.2,4.2,50133.0,72.6,3.9
285,El Monte City,2018,8002,-2.805781610591522,612090,Elementary,66604.0,55.9,7.0,49651.0,70.2,6.8
286,El Monte City,2019,7893,-1.3621594601349662,612090,Elementary,72475.0,58.1,4.9,53243.0,73.1,4.6
287,El Monte Union High,2015,9071,,612120,Secondary,144380.0,53.3,5.3,109561.0,67.3,5.2
288,El Monte Union High,2016,8986,-0.9370521441957887,612120,Secondary,136261.0,55.4,6.6,102987.0,69.0,6.3
289,El Monte Union High,2017,8838,-1.6470064544847542,612120,Secondary,142668.0,58.6,4.8,109896.0,71.6,4.4
290,El Monte Union High,2018,8607,-2.613713509843856,612120,Secondary,137294.0,57.1,7.9,103518.0,70.5,7.2
291,El Monte Union High,2019,8264,-3.985128383873592,612120,Secondary,142085.0,58.3,4.4,104678.0,74.0,4.3
292,Elk Grove Unified,2015,62533,,612330,Unified,260823.0,58.0,8.5,206221.0,69.7,7.9
293,Elk Grove Unified,2016,62825,0.4669534485791502,612330,Unified,259386.0,57.7,6.9,196546.0,71.2,6.7
294,Elk Grove Unified,2017,63050,0.3581376840429765,612330,Unified,265529.0,57.5,6.7,201790.0,70.2,6.4
295,Elk Grove Unified,2018,63682,1.0023790642347343,612330,Unified,259856.0,58.3,5.8,197971.0,71.6,5.3
296,Elk Grove Unified,2019,64223,0.8495336201752458,612330,Unified,271136.0,58.7,6.2,205736.0,72.2,5.5
297,Encinitas Union Elementary,2015,5316,,612750,Elementary,60436.0,58.6,4.6,42460.0,75.3,4.2
298,Encinitas Union Elementary,2016,5308,-0.1504890895410082,612750,Elementary,59827.0,64.0,3.0,43325.0,77.3,2.8
299,Encinitas Union Elementary,2017,5345,0.6970610399397137,612750,Elementary,60354.0,61.6,4.8,42390.0,77.1,4.4
300,Encinitas Union Elementary,2018,5276,-1.2909260991580918,612750,Elementary,58937.0,59.7,4.3,40434.0,78.3,4.4
301,Encinitas Union Elementary,2019,5341,1.2319939347990905,612750,Elementary,58080.0,60.4,4.0,39768.0,78.9,4.1
302,Escondido Union,2015,19067,,612880,Elementary,133637.0,60.1,7.8,103307.0,72.4,7.3
303,Escondido Union,2016,18965,-0.5349556825929617,612880,Elementary,132981.0,63.9,6.0,104710.0,74.7,5.8
304,Escondido Union,2017,18695,-1.4236751911415766,612880,Elementary,132222.0,63.4,3.7,101630.0,76.8,3.5
305,Escondido Union,2018,18473,-1.1874832843006151,612880,Elementary,137294.0,60.0,3.8,103118.0,72.8,3.4
306,Escondido Union,2019,18294,-0.9689817571590972,612880,Elementary,132709.0,59.0,3.6,97900.0,72.3,3.7
307,Escondido Union High,2015,9556,,612910,Secondary,136058.0,60.0,7.7,105037.0,72.4,7.2
308,Escondido Union High,2016,9571,0.1569694432817078,612910,Secondary,135411.0,63.6,5.9,106438.0,74.5,5.7
309,Escondido Union High,2017,9472,-1.034374673492843,612910,Secondary,134458.0,63.5,3.6,103064.0,76.9,3.5
310,Escondido Union High,2018,9498,0.2744932432432432,612910,Secondary,140370.0,59.9,3.8,105233.0,72.8,3.4
311,Escondido Union High,2019,9509,0.1158138555485365,612910,Secondary,135094.0,59.0,3.8,99648.0,72.4,3.8
312,Etiwanda Elementary,2015,13866,,612960,Elementary,65697.0,62.2,6.6,54492.0,71.9,5.8
313,Etiwanda Elementary,2016,13986,0.865426222414539,612960,Elementary,75447.0,61.3,4.9,61290.0,70.0,4.7
314,Etiwanda Elementary,2017,14102,0.8294008294008294,612960,Elementary,,,,,,
315,Etiwanda Elementary,2018,14081,-0.1489150475109913,612960,Elementary,77827.0,64.0,4.3,61950.0,75.4,4.4
316,Etiwanda Elementary,2019,14013,-0.4829202471415382,612960,Elementary,72988.0,66.0,2.7,57546.0,74.5,2.8
317,Evergreen Elementary,2015,12275,,613140,Elementary,85921.0,59.3,5.6,63444.0,75.0,5.0
318,Evergreen Elementary,2016,11793,-3.9266802443991855,613140,Elementary,80886.0,60.9,5.0,58157.0,77.2,4.5
319,Evergreen Elementary,2017,11383,-3.476638683965064,613140,Elementary,80846.0,61.6,6.4,61040.0,75.4,6.7
320,Evergreen Elementary,2018,10837,-4.796626548361592,613140,Elementary,81658.0,58.7,4.9,58146.0,75.0,4.8
321,Evergreen Elementary,2019,10426,-3.792562517301836,613140,Elementary,76122.0,62.0,3.8,55694.0,78.0,3.9
322,Fairfield-Suisun Unified,2015,21500,,613360,Unified,106568.0,58.5,9.8,83686.0,69.4,9.7
323,Fairfield-Suisun Unified,2016,21558,0.2697674418604651,613360,Unified,110540.0,59.7,6.3,83710.0,72.3,6.0
324,Fairfield-Suisun Unified,2017,21493,-0.3015121996474627,613360,Unified,109247.0,60.0,5.7,83333.0,72.2,4.1
325,Fairfield-Suisun Unified,2018,21365,-0.5955427348439026,613360,Unified,111862.0,63.3,3.7,85113.0,75.1,3.5
326,Fairfield-Suisun Unified,2019,21236,-0.6037912473671894,613360,Unified,110494.0,64.8,3.3,83173.0,78.3,3.1
327,Fallbrook Union Elementary,2016,5000,-0.9704892057833234,613500,Elementary,55142.0,40.5,2.1,39488.0,49.1,2.2
328,Fallbrook Union Elementary,2017,4861,-2.78,613500,Elementary,52559.0,38.2,6.3,37164.0,47.2,6.3
329,Fallbrook Union Elementary,2018,5043,3.744085579098951,613500,Elementary,54425.0,38.5,8.5,38799.0,48.1,8.1
330,Fallbrook Union High,2015,2311,,613530,Secondary,69577.0,40.5,4.7,50780.0,48.2,4.5
331,Fallbrook Union High,2016,2262,-2.120294244915621,613530,Secondary,57342.0,40.9,2.2,40993.0,49.9,2.2
332,Fallbrook Union High,2017,2161,-4.465075154730328,613530,Secondary,55054.0,39.0,6.0,38635.0,48.3,6.0
333,Fallbrook Union High,2018,2154,-0.3239241092086997,613530,Secondary,56224.0,38.9,8.5,40090.0,48.7,8.2
334,Folsom-Cordova Unified,2015,19819,,613890,Unified,100101.0,60.3,7.9,80184.0,70.0,7.3
335,Folsom-Cordova Unified,2016,20262,2.235228820828498,613890,Unified,101611.0,60.4,3.7,77591.0,73.2,3.2
336,Folsom-Cordova Unified,2017,20291,0.1431250616918369,613890,Unified,103934.0,60.3,5.6,81256.0,71.9,5.3
337,Folsom-Cordova Unified,2018,20544,1.246858213000838,613890,Unified,103618.0,57.8,4.3,79400.0,69.7,4.1
338,Folsom-Cordova Unified,2019,20546,0.0097352024922118,613890,Unified,106178.0,64.2,3.1,83258.0,75.5,3.0
339,Fontana Unified,2015,38693,,613920,Unified,139892.0,58.2,10.9,115150.0,67.2,10.5
340,Fontana Unified,2016,37979,-1.8452950146021243,613920,Unified,140553.0,61.4,7.7,114260.0,71.3,7.0
341,Fontana Unified,2017,37135,-2.222280734089892,613920,Unified,138080.0,60.4,8.3,112668.0,70.3,6.8
342,Fontana Unified,2018,36276,-2.313181634576545,613920,Unified,146479.0,62.8,5.9,119270.0,72.5,4.8
343,Fontana Unified,2019,36089,-0.5154923365310398,613920,Unified,136335.0,60.1,5.8,107115.0,70.4,5.7
344,Franklin-McKinley Elementary,2015,10656,,614370,Elementary,76489.0,62.9,7.9,61393.0,74.0,7.1
345,Franklin-McKinley Elementary,2016,10277,-3.556681681681681,614370,Elementary,76071.0,61.9,7.1,60335.0,72.2,7.1
346,Franklin-McKinley Elementary,2017,10072,-1.994745548311764,614370,Elementary,75516.0,63.6,3.1,57833.0,77.2,3.0
347,Franklin-McKinley Elementary,2018,9720,-3.494837172359015,614370,Elementary,70871.0,63.3,5.4,54795.0,75.2,4.4
348,Franklin-McKinley Elementary,2019,9227,-5.07201646090535,614370,Elementary,70381.0,63.6,4.7,53006.0,77.7,4.5
349,Fremont Unified,2015,34808,,614400,Unified,186798.0,62.4,3.8,149118.0,74.4,3.7
350,Fremont Unified,2016,35132,0.9308205010342452,614400,Unified,181200.0,64.3,3.2,144556.0,76.2,3.2
351,Fremont Unified,2017,35731,1.7049982921553,614400,Unified,184698.0,63.9,4.2,147085.0,76.0,4.2
352,Fremont Unified,2018,35495,-0.6604908902633567,614400,Unified,190200.0,65.3,3.3,150561.0,77.5,2.8
353,Fremont Unified,2019,35379,-0.3268065924778138,614400,Unified,192852.0,65.5,2.7,152334.0,78.3,2.7
354,Fremont Union High,2015,10700,,614430,Secondary,187026.0,63.8,5.2,148240.0,76.8,5.2
355,Fremont Union High,2016,10835,1.2616822429906542,614430,Secondary,189767.0,63.8,3.8,149282.0,76.2,3.7
356,Fremont Union High,2017,11095,2.3996308260267654,614430,Secondary,194169.0,65.2,3.8,152704.0,78.0,3.9
357,Fremont Union High,2018,10973,-1.099594411897251,614430,Secondary,184924.0,66.6,2.9,147521.0,79.5,2.8
358,Fremont Union High,2019,11032,0.5376834047206781,614430,Secondary,188172.0,65.4,2.2,146697.0,78.4,2.2
359,Fresno Unified,2015,73131,,614550,Unified,295616.0,52.0,11.8,227125.0,62.3,11.3
360,Fresno Unified,2016,72946,-0.2529706964214901,614550,Unified,291647.0,51.0,10.8,223516.0,61.3,10.8
361,Fresno Unified,2017,72963,0.0233049104817262,614550,Unified,299841.0,52.7,10.5,231004.0,63.6,9.4
362,Fresno Unified,2018,73223,0.3563449967791894,614550,Unified,291392.0,52.3,9.7,221989.0,63.2,8.7
363,Fresno Unified,2019,73106,-0.1597858596342679,614550,Unified,282604.0,53.4,8.6,215290.0,64.8,8.5
364,Fullerton Elementary,2015,13516,,614730,Elementary,98656.0,58.2,8.2,73662.0,72.0,6.8
365,Fullerton Elementary,2016,13358,-1.168984906777153,614730,Elementary,97765.0,60.9,6.7,74442.0,73.4,6.3
366,Fullerton Elementary,2017,13299,-0.4416828866596796,614730,Elementary,99770.0,60.3,6.7,75184.0,73.3,6.2
367,Fullerton Elementary,2018,13059,-1.8046469659372888,614730,Elementary,96656.0,62.7,5.7,74444.0,75.5,5.0
368,Fullerton Elementary,2019,12848,-1.6157439313883144,614730,Elementary,95960.0,63.0,4.9,72728.0,75.9,4.7
369,Fullerton Joint Union High,2015,14211,,614760,Secondary,203427.0,58.0,8.8,154974.0,71.1,7.7
370,Fullerton Joint Union High,2016,13965,-1.7310534093308,614760,Secondary,207526.0,60.3,7.0,158861.0,72.7,6.4
371,Fullerton Joint Union High,2017,13882,-0.594343000358038,614760,Secondary,209471.0,62.1,5.9,160835.0,74.9,5.2
372,Fullerton Joint Union High,2018,13678,-1.4695288863276186,614760,Secondary,203955.0,64.5,5.1,156844.0,77.9,4.7
373,Fullerton Joint Union High,2019,13603,-0.5483257786226057,614760,Secondary,208709.0,64.1,4.8,157979.0,78.0,4.2
374,Garden Grove Unified,2015,45220,,614880,Unified,229103.0,59.0,5.9,174641.0,72.2,5.8
375,Garden Grove Unified,2016,44195,-2.2666961521450686,614880,Unified,223189.0,59.8,5.5,171000.0,72.0,5.5
376,Garden Grove Unified,2017,43131,-2.407512162009277,614880,Unified,228393.0,60.6,4.0,173822.0,74.9,3.8
377,Garden Grove Unified,2018,42265,-2.007836590851128,614880,Unified,226392.0,61.1,4.2,173119.0,74.7,4.0
378,Garden Grove Unified,2019,41395,-2.0584407902519817,614880,Unified,217318.0,59.3,4.1,159306.0,74.1,4.1
379,Gilroy Unified,2016,11945,0.9209192294694154,615180,Unified,48827.0,66.9,5.6,37807.0,78.4,4.9
380,Gilroy Unified,2017,11821,-1.0380912515696945,615180,Unified,51275.0,63.7,4.7,38284.0,77.1,4.5
381,Gilroy Unified,2018,11641,-1.522713814398105,615180,Unified,,,,,,
382,Gilroy Unified,2019,11660,0.1632162185379262,615180,Unified,,,,,,
383,Glendale Unified,2015,26052,,615240,Unified,187147.0,57.6,8.0,144333.0,69.9,7.8
384,Glendale Unified,2016,26014,-0.1458621219100261,615240,Unified,184853.0,57.8,9.2,136224.0,72.7,8.7
385,Glendale Unified,2017,26012,-0.0076881679095871,615240,Unified,191511.0,56.5,5.2,142162.0,69.9,5.3
386,Glendale Unified,2018,25734,-1.0687375057665691,615240,Unified,189197.0,57.3,6.0,140891.0,72.2,5.1
387,Glendale Unified,2019,25468,-1.033651977928033,615240,Unified,183572.0,61.0,5.2,134936.0,77.1,4.9
388,Goleta Union Elementary,2015,3684,,615510,Elementary,71929.0,53.8,6.1,49726.0,65.1,4.9
389,Goleta Union Elementary,2016,3571,-3.0673181324647123,615510,Elementary,68733.0,57.1,9.5,47060.0,72.0,6.0
390,Goleta Union Elementary,2017,3541,-0.8401008120974517,615510,Elementary,71578.0,57.4,8.7,49158.0,69.6,8.0
391,Goleta Union Elementary,2018,3566,0.7060152499293985,615510,Elementary,68792.0,52.7,7.0,45873.0,68.8,5.4
392,Goleta Union Elementary,2019,3619,1.4862591138530568,615510,Elementary,73097.0,53.4,7.6,48325.0,68.0,5.0
393,Grossmont Union High,2015,21773,,616230,Secondary,383983.0,57.7,8.4,293754.0,70.6,7.6
394,Grossmont Union High,2016,21634,-0.6384053644421991,616230,Secondary,384432.0,58.0,7.4,293732.0,70.1,7.4
395,Grossmont Union High,2017,21414,-1.0169178145511697,616230,Secondary,382890.0,60.8,6.2,293720.0,72.6,5.9
396,Grossmont Union High,2018,21273,-0.658447744466237,616230,Secondary,384331.0,59.2,5.2,292878.0,71.9,5.0
397,Grossmont Union High,2019,21661,1.8239082404926432,616230,Secondary,391914.0,58.5,6.6,291009.0,72.7,5.8
398,Hacienda la Puente Unified,2015,19358,,616325,Unified,98681.0,55.7,7.2,73194.0,69.8,6.9
399,Hacienda la Puente Unified,2016,18874,-2.500258291145779,616325,Unified,94737.0,58.2,5.4,71864.0,72.1,5.0
400,Hacienda la Puente Unified,2017,18421,-2.4001271590547844,616325,Unified,100908.0,60.6,6.5,76812.0,73.7,6.0
401,Hacienda la Puente Unified,2018,18081,-1.8457195591987403,616325,Unified,96372.0,61.5,5.1,71112.0,76.6,4.9
402,Hacienda la Puente Unified,2019,17806,-1.5209335766827057,616325,Unified,94530.0,59.8,5.9,70102.0,73.6,5.4
403,Hanford Joint Union High,2015,3772,,616500,Secondary,52819.0,53.8,9.4,39334.0,66.0,9.2
404,Hanford Joint Union High,2016,3799,0.7158006362672322,616500,Secondary,54727.0,56.4,6.9,41566.0,67.9,7.1
405,Hanford Joint Union High,2017,3801,0.0526454330086864,616500,Secondary,54702.0,56.9,6.3,41835.0,70.4,5.8
406,Hanford Joint Union High,2018,3897,2.525651144435675,616500,Secondary,53567.0,59.7,5.3,41283.0,72.1,5.1
407,Hanford Joint Union High,2019,4015,3.0279702335129586,616500,Secondary,56856.0,52.5,8.5,43781.0,65.0,8.5
408,Hawthorne,2015,8686,,616680,Elementary,59646.0,61.2,8.0,48316.0,72.6,7.4
409,Hawthorne,2016,8564,-1.4045590605572185,616680,Elementary,57771.0,65.8,5.7,48383.0,75.8,5.7
410,Hawthorne,2017,8356,-2.4287716020551144,616680,Elementary,58978.0,64.9,5.5,48342.0,75.8,5.1
411,Hawthorne,2018,8029,-3.913355672570608,616680,Elementary,59129.0,71.5,3.0,49167.0,82.6,2.9
412,Hawthorne,2019,7920,-1.3575787769336156,616680,Elementary,,,,,,
413,Hayward Unified,2015,22763,,616740,Unified,142549.0,62.7,5.2,114919.0,74.1,5.0
414,Hayward Unified,2016,22847,0.3690199007160743,616740,Unified,147294.0,63.0,3.9,115459.0,75.3,4.0
415,Hayward Unified,2017,22667,-0.787849608263667,616740,Unified,147486.0,67.0,3.4,117373.0,80.2,3.2
416,Hayward Unified,2018,22313,-1.561741739092072,616740,Unified,145307.0,61.1,4.3,112847.0,73.6,4.1
417,Hayward Unified,2019,22228,-0.3809438443956438,616740,Unified,150212.0,66.0,3.6,117632.0,77.6,3.2
418,Hemet Unified,2015,21444,,616920,Unified,104700.0,41.2,16.1,71046.0,55.5,15.0
419,Hemet Unified,2016,21676,1.0818877075172544,616920,Unified,108666.0,41.3,13.6,71798.0,55.9,12.5
420,Hemet Unified,2017,21755,0.3644583871563019,616920,Unified,117234.0,45.8,11.2,79339.0,61.1,11.2
421,Hemet Unified,2018,21977,1.0204550678005055,616920,Unified,111506.0,48.3,7.0,73732.0,65.8,6.9
422,Hemet Unified,2019,22256,1.269509032169996,616920,Unified,116053.0,43.6,9.1,78776.0,60.3,7.7
423,Huntington Beach City Elementary,2015,7002,,618030,Elementary,73183.0,64.2,5.8,54652.0,76.9,5.3
424,Huntington Beach City Elementary,2016,7148,2.085118537560697,618030,Elementary,71164.0,63.1,2.4,51979.0,79.2,2.2
425,Huntington Beach City Elementary,2017,7067,-1.1331841074426414,618030,Elementary,66978.0,61.1,3.5,47513.0,77.1,3.3
426,Huntington Beach City Elementary,2018,6944,-1.740483939436819,618030,Elementary,70911.0,61.2,3.2,51451.0,77.8,2.8
427,Huntington Beach City Elementary,2019,6739,-2.952188940092166,618030,Elementary,67832.0,63.4,3.8,48012.0,79.3,3.9
428,Huntington Beach Union High,2015,16031,,618060,Secondary,266490.0,61.5,5.1,197930.0,75.8,4.8
429,Huntington Beach Union High,2016,16122,0.5676501777805502,618060,Secondary,269197.0,60.7,4.7,198561.0,76.0,4.4
430,Huntington Beach Union High,2017,16170,0.297729810197246,618060,Secondary,265794.0,61.2,4.3,191345.0,76.9,4.1
431,Huntington Beach Union High,2018,15943,-1.4038342609771182,618060,Secondary,266958.0,60.8,3.9,194212.0,77.4,3.7
432,Huntington Beach Union High,2019,15875,-0.4265194756319388,618060,Secondary,268457.0,62.0,4.8,194895.0,77.6,4.3
433,Inglewood Unified,2015,13065,,618390,Unified,91019.0,57.9,12.0,69215.0,70.9,11.5
434,Inglewood Unified,2016,12468,-4.569460390355913,618390,Unified,94086.0,59.6,8.8,73446.0,71.6,7.1
435,Inglewood Unified,2017,11927,-4.339108116778954,618390,Unified,90464.0,58.6,7.5,67518.0,71.9,7.0
436,Inglewood Unified,2018,11463,-3.890332858220844,618390,Unified,87998.0,64.6,6.5,68602.0,76.4,5.7
437,Inglewood Unified,2019,10949,-4.48399197417779,618390,Unified,89861.0,63.6,5.0,69805.0,75.9,4.8
438,Jefferson Elementary,2015,9482,,618870,Elementary,82337.0,64.3,7.8,66222.0,74.7,8.0
439,Jefferson Elementary,2016,9356,-1.328833579413626,618870,Elementary,78390.0,65.6,6.0,60117.0,78.3,6.4
440,Jefferson Elementary,2017,9142,-2.287302265925609,618870,Elementary,79874.0,66.5,4.0,62535.0,80.0,3.0
441,Jefferson Elementary,2018,9198,0.6125574272588056,618870,Elementary,81646.0,67.5,4.5,62647.0,81.7,4.4
442,Jefferson Elementary,2019,8969,-2.4896716677538597,618870,Elementary,78013.0,67.5,3.6,59214.0,84.3,3.5
443,Jefferson Union High,2015,4911,,618930,Secondary,131453.0,63.5,6.7,102078.0,75.4,7.0
444,Jefferson Union High,2016,4845,-1.3439218081857056,618930,Secondary,126478.0,66.6,5.0,96716.0,80.0,5.2
445,Jefferson Union High,2017,4851,0.1238390092879257,618930,Secondary,129603.0,66.8,3.9,99083.0,81.1,3.2
446,Jefferson Union High,2018,4769,-1.6903731189445474,618930,Secondary,129185.0,68.2,4.0,98429.0,82.5,3.9
447,Jefferson Union High,2019,4745,-0.5032501572656741,618930,Secondary,122050.0,66.0,3.1,90756.0,83.0,3.0
448,Jurupa Unified,2015,19219,,619260,Unified,77747.0,54.3,12.7,59608.0,66.3,11.1
449,Jurupa Unified,2016,19139,-0.4162547479057182,619260,Unified,80149.0,57.6,8.6,64172.0,68.7,8.1
450,Jurupa Unified,2017,19054,-0.4441193374784471,619260,Unified,78248.0,59.1,7.1,61139.0,69.9,5.6
451,Jurupa Unified,2018,19281,1.1913508974493543,619260,Unified,85953.0,56.2,9.9,65723.0,68.1,7.5
452,Jurupa Unified,2019,19024,-1.332918417094549,619260,Unified,79747.0,57.7,8.6,60349.0,71.3,6.4
453,Kern High,2015,38070,,619540,Secondary,467419.0,55.7,11.0,365741.0,66.3,10.5
454,Kern High,2016,38705,1.667980036774363,619540,Secondary,462944.0,55.1,10.4,361985.0,65.7,9.9
455,Kern High,2017,39520,2.105671101924816,619540,Secondary,470576.0,53.9,9.4,363674.0,65.2,8.2
456,Kern High,2018,40340,2.074898785425101,619540,Secondary,476721.0,55.4,9.2,369499.0,66.3,8.8
457,Kern High,2019,41150,2.007932573128409,619540,Secondary,468218.0,55.0,7.4,359791.0,66.9,6.7
458,La Mesa-Spring Valley,2015,12177,,620250,Elementary,114460.0,57.8,9.2,87755.0,70.8,8.6
459,La Mesa-Spring Valley,2016,12261,0.6898250800689825,620250,Elementary,110199.0,58.6,8.0,85135.0,71.7,8.2
460,La Mesa-Spring Valley,2017,12562,2.4549384226408937,620250,Elementary,113079.0,60.5,7.2,88240.0,71.9,6.9
461,La Mesa-Spring Valley,2018,12382,-1.4328928514567745,620250,Elementary,113134.0,61.5,4.0,86313.0,74.9,3.8
462,La Mesa-Spring Valley,2019,12044,-2.7297690195445,620250,Elementary,117638.0,60.6,7.3,88220.0,74.6,7.0
463,Lancaster Elementary,2015,15291,,620880,Elementary,83943.0,48.0,6.6,66688.0,56.8,6.3
464,Lancaster Elementary,2016,15213,-0.5101039827349422,620880,Elementary,92528.0,48.1,6.2,72556.0,56.5,6.2
465,Lancaster Elementary,2017,15210,-0.0197199763360284,620880,Elementary,83152.0,52.5,5.3,66332.0,61.6,4.9
466,Lancaster Elementary,2018,15253,0.2827087442472058,620880,Elementary,81690.0,48.4,9.2,62238.0,58.9,8.7
467,Lancaster Elementary,2019,15475,1.4554513866124696,620880,Elementary,88149.0,51.3,5.3,65729.0,65.1,4.8
468,Las Virgenes Unified,2015,11360,,621000,Unified,52022.0,58.7,5.1,37302.0,71.2,5.1
469,Las Virgenes Unified,2016,11536,1.5492957746478873,621000,Unified,53372.0,63.0,2.7,36980.0,78.8,2.1
470,Las Virgenes Unified,2017,11305,-2.00242718446602,621000,Unified,55670.0,62.0,4.6,39949.0,72.8,5.1
471,Las Virgenes Unified,2018,11115,-1.680672268907563,621000,Unified,54167.0,57.0,2.6,37755.0,68.9,2.8
