,Unnamed: 0,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Total!!Estimate!!Hispanic or Latino origin (of any race),"Total!!Estimate!!White alone, not Hispanic or Latino",Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Employment/Population Ratio!!Estimate!!Hispanic or Latino origin (of any race),"Employment/Population Ratio!!Estimate!!White alone, not Hispanic or Latino",Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Unemployment rate!!Estimate!!Hispanic or Latino origin (of any race),"Unemployment rate!!Estimate!!White alone, not Hispanic or Latino",Unemployment rate!!Estimate!!Population 20 to 64 years,STATE,SCHOOL DISTRICT (UNIFIED),NCESDist,year,SCHOOL DISTRICT (ELEMENTARY),SCHOOL DISTRICT (SECONDARY)
63,64,132958,58812,22111,-999999999,-999999999,-999999999,40246,-999999999,75325,25895,105380,57.1,55.7,58.0,-999999999.0,-999999999.0,-999999999,60.0,-999999999.0,58.7,53.8,68.0,10.1,10.0,10.9,-999999999.0,-999999999.0,-999999999,10.2,-999999999.0,10.1,9.5,8.7,6,25800.0,625800,2015,,
64,65,51775,39078,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,15636,27546,38892,60.1,60.3,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,62.8,59.3,73.7,4.7,4.7,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,6.5,4.3,3.9,6,25830.0,625830,2015,,
65,66,54244,45700,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,12416,35366,40565,37.4,37.2,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,34.6,38.8,46.0,11.1,10.0,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,13.5,9.6,10.7,6,25860.0,625860,2015,,
66,67,218842,148904,8749,-999999999,26764,-999999999,22322,-999999999,53154,121098,169485,62.2,62.7,54.7,-999999999.0,61.3,-999999999,62.4,-999999999.0,63.8,62.4,74.6,6.8,5.6,15.1,-999999999.0,5.4,-999999999,13.1,-999999999.0,9.0,5.5,6.4,6,26370.0,626370,2015,,
67,68,96454,67727,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,29260,53962,71294,62.2,60.6,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,69.4,58.6,76.6,4.7,4.6,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,4.5,4.6,4.5,6,26640.0,626640,2015,,
68,69,66681,15092,-999999999,-999999999,36628,-999999999,-999999999,-999999999,12010,10290,50857,59.5,54.5,-999999999.0,-999999999.0,60.4,-999999999,-999999999.0,-999999999.0,58.6,54.2,72.8,4.5,5.3,-999999999.0,-999999999.0,5.2,-999999999,-999999999.0,-999999999.0,4.4,3.3,4.5,6,26910.0,626910,2015,,
69,70,168049,132577,-999999999,-999999999,14369,-999999999,-999999999,-999999999,33621,112428,127204,63.9,63.7,-999999999.0,-999999999.0,61.4,-999999999,-999999999.0,-999999999.0,66.7,63.1,77.2,5.0,4.9,-999999999.0,-999999999.0,2.5,-999999999,-999999999.0,-999999999.0,5.1,5.0,4.9,6,27240.0,627240,2015,,
70,71,101074,44003,-999999999,-999999999,18541,-999999999,31279,-999999999,56452,20888,75781,55.9,50.1,-999999999.0,-999999999.0,55.5,-999999999,63.8,-999999999.0,59.0,47.3,69.4,6.4,8.4,-999999999.0,-999999999.0,5.4,-999999999,3.2,-999999999.0,6.4,5.7,5.5,6,27690.0,627690,2015,,
71,72,342395,132801,86170,-999999999,56109,-999999999,47018,16266,81847,104363,275859,63.5,70.8,55.0,-999999999.0,57.8,-999999999,65.2,65.9,66.3,71.0,74.0,7.0,5.0,9.2,-999999999.0,8.4,-999999999,7.3,9.3,6.5,4.8,6.5,6,28050.0,628050,2015,,
72,73,110376,82786,-999999999,-999999999,8477,-999999999,-999999999,-999999999,36813,52901,85641,58.0,59.5,-999999999.0,-999999999.0,50.2,-999999999,-999999999.0,-999999999.0,65.3,55.6,69.0,7.2,6.6,-999999999.0,-999999999.0,16.3,-999999999,-999999999.0,-999999999.0,8.5,5.0,7.2,6,28250.0,628250,2015,,
73,74,178990,124903,-999999999,-999999999,26880,-999999999,-999999999,-999999999,52871,92308,137376,61.4,59.2,-999999999.0,-999999999.0,63.4,-999999999,-999999999.0,-999999999.0,64.1,59.7,73.1,6.6,6.1,-999999999.0,-999999999.0,7.3,-999999999,-999999999.0,-999999999.0,6.4,5.8,6.1,6,28650.0,628650,2015,,
74,75,88015,58415,-999999999,-999999999,-999999999,-999999999,23290,-999999999,47766,35969,67267,57.1,55.5,-999999999.0,-999999999.0,-999999999.0,-999999999,62.6,-999999999.0,60.9,53.5,68.0,7.0,7.6,-999999999.0,-999999999.0,-999999999.0,-999999999,6.0,-999999999.0,6.5,8.0,6.8,6,29490.0,629490,2015,,
75,76,140854,111318,6472,-999999999,-999999999,-999999999,14997,-999999999,56655,71119,94372,47.1,45.6,47.0,-999999999.0,-999999999.0,-999999999,56.6,-999999999.0,58.3,38.3,62.3,9.2,7.8,19.0,-999999999.0,-999999999.0,-999999999,12.4,-999999999.0,7.9,8.6,8.4,6,29550.0,629550,2015,,
76,77,70824,42898,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,39627,49475,56.4,55.5,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999.0,56.5,73.3,3.1,3.5,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999.0,2.1,2.5,6,29610.0,629610,2015,,
77,78,60044,33141,-999999999,-999999999,-999999999,-999999999,11178,-999999999,41576,-999999999,47621,61.4,64.3,-999999999.0,-999999999.0,-999999999.0,-999999999,60.9,-999999999.0,64.0,-999999999.0,73.3,5.6,5.6,-999999999.0,-999999999.0,-999999999.0,-999999999,6.0,-999999999.0,6.0,-999999999.0,4.6,6,29850.0,629850,2015,,
78,79,176499,97614,23765,-999999999,23903,-999999999,25638,-999999999,52282,72636,133429,63.2,63.2,54.7,-999999999.0,63.4,-999999999,68.7,-999999999.0,67.1,62.5,76.6,6.3,6.7,9.5,-999999999.0,3.7,-999999999,3.9,-999999999.0,7.1,5.5,5.9,6,29940.0,629940,2015,,
79,80,136253,103336,-999999999,-999999999,23443,-999999999,-999999999,-999999999,42149,65868,104677,64.5,64.7,-999999999.0,-999999999.0,63.9,-999999999,-999999999.0,-999999999.0,67.0,63.7,78.1,5.0,5.3,-999999999.0,-999999999.0,3.2,-999999999,-999999999.0,-999999999.0,6.3,4.4,4.8,6,30660.0,630660,2015,,
80,81,133502,69352,9228,-999999999,22721,-999999999,24507,-999999999,81129,17282,102256,55.2,55.1,49.3,-999999999.0,54.8,-999999999,58.3,-999999999.0,57.2,51.3,67.2,10.1,10.3,18.5,-999999999.0,6.4,-999999999,8.0,-999999999.0,9.4,14.1,8.8,6,31320.0,631320,2015,,
81,82,149201,101566,-999999999,-999999999,34307,-999999999,-999999999,-999999999,17952,87955,111825,61.8,59.5,-999999999.0,-999999999.0,67.0,-999999999,-999999999.0,-999999999.0,64.7,58.3,77.0,4.4,4.0,-999999999.0,-999999999.0,2.6,-999999999,-999999999.0,-999999999.0,5.5,4.3,3.9,6,31530.0,631530,2015,,
82,83,100468,69122,-999999999,-999999999,11120,-999999999,-999999999,-999999999,26822,50759,74977,55.2,55.9,-999999999.0,-999999999.0,52.9,-999999999,-999999999.0,-999999999.0,55.6,56.0,68.3,6.7,5.0,-999999999.0,-999999999.0,9.1,-999999999,-999999999.0,-999999999.0,9.2,4.5,6.5,6,32070.0,632070,2015,,
83,84,94560,70281,-999999999,-999999999,-999999999,-999999999,9735,-999999999,70233,10815,73722,55.9,55.5,-999999999.0,-999999999.0,-999999999.0,-999999999,59.9,-999999999.0,57.2,49.4,66.6,10.3,10.4,-999999999.0,-999999999.0,-999999999.0,-999999999,10.5,-999999999.0,10.9,6.6,9.9,6,32370.0,632370,2015,,
84,85,207525,84655,32539,-999999999,48980,-999999999,28010,11875,63793,53323,158424,61.0,60.8,53.0,-999999999.0,62.2,-999999999,68.6,62.1,66.4,57.9,74.0,6.3,5.6,11.5,-999999999.0,4.8,-999999999,3.6,9.8,4.7,5.9,5.8,6,32550.0,632550,2015,,
85,86,204819,137434,14342,-999999999,15923,-999999999,26459,-999999999,81720,86199,160505,58.0,59.2,49.4,-999999999.0,41.8,-999999999,66.4,-999999999.0,63.9,57.2,70.4,7.8,6.9,14.3,-999999999.0,9.1,-999999999,7.4,-999999999.0,7.7,6.0,7.0,6,33150.0,633150,2015,,
86,87,94816,24984,-999999999,-999999999,44523,-999999999,21077,-999999999,39718,7770,71157,57.5,56.3,-999999999.0,-999999999.0,56.9,-999999999,59.6,-999999999.0,58.5,56.6,70.6,6.8,8.5,-999999999.0,-999999999.0,5.4,-999999999,6.3,-999999999.0,6.7,11.4,6.4,6,33750.0,633750,2015,,
87,88,262547,145378,32363,-999999999,47053,-999999999,18567,14327,62945,105501,198406,55.6,58.8,45.8,-999999999.0,51.8,-999999999,57.2,54.4,58.3,58.8,69.3,8.3,6.9,12.1,-999999999.0,7.9,-999999999,11.1,12.7,10.6,6.0,7.5,6,33840.0,633840,2015,,
88,89,178359,133863,-999999999,-999999999,25566,-999999999,-999999999,-999999999,31287,113546,129800,63.3,61.1,-999999999.0,-999999999.0,67.7,-999999999,-999999999.0,-999999999.0,71.7,59.4,78.6,4.1,4.3,-999999999.0,-999999999.0,2.9,-999999999,-999999999.0,-999999999.0,4.9,4.2,3.9,6,33860.0,633860,2015,,
89,90,203973,116544,28401,-999999999,-999999999,-999999999,38474,-999999999,116552,43706,162972,52.1,50.7,51.6,-999999999.0,-999999999.0,-999999999,56.7,-999999999.0,56.1,41.6,61.3,11.4,12.8,10.3,-999999999.0,-999999999.0,-999999999,10.8,-999999999.0,11.4,15.7,9.8,6,34170.0,634170,2015,,
90,91,897205,574250,69702,-999999999,142675,-999999999,68892,35074,232527,424407,719053,60.9,62.1,52.9,-999999999.0,59.8,-999999999,60.3,64.1,63.5,61.0,70.9,6.8,6.1,13.7,-999999999.0,4.7,-999999999,11.2,6.6,7.8,6.1,6.3,6,34320.0,634320,2015,,
91,92,760939,367665,38832,-999999999,269164,-999999999,52800,26873,107982,320934,608133,66.5,72.7,42.9,-999999999.0,60.7,-999999999,68.0,73.8,69.5,73.0,78.5,5.1,3.7,16.3,-999999999.0,6.2,-999999999,4.3,4.0,4.3,3.7,4.9,6,34410.0,634410,2015,,
92,93,220652,117523,-999999999,-999999999,42945,-999999999,37312,-999999999,67514,91383,174675,64.9,64.6,-999999999.0,-999999999.0,66.0,-999999999,65.1,-999999999.0,65.2,64.6,76.5,5.4,4.8,-999999999.0,-999999999.0,7.2,-999999999,6.8,-999999999.0,6.1,4.5,5.0,6,34590.0,634590,2015,,
93,94,272754,218360,16405,-999999999,13494,-999999999,11292,11469,32800,200393,195378,54.5,53.4,54.3,-999999999.0,62.1,-999999999,64.0,56.9,61.1,52.8,69.1,9.7,9.4,8.2,-999999999.0,4.5,-999999999,14.8,18.7,12.6,9.3,9.0,6,34620.0,634620,2015,,
94,95,57490,24263,-999999999,-999999999,18714,-999999999,-999999999,-999999999,16040,13792,43090,64.2,60.9,-999999999.0,-999999999.0,63.4,-999999999,-999999999.0,-999999999.0,63.0,60.8,78.1,6.1,5.1,-999999999.0,-999999999.0,7.3,-999999999,-999999999.0,-999999999.0,6.3,4.5,5.7,6,34680.0,634680,2015,,
95,96,69197,27012,-999999999,-999999999,20928,-999999999,-999999999,-999999999,25092,14708,54170,62.5,62.1,-999999999.0,-999999999.0,58.6,-999999999,-999999999.0,-999999999.0,69.3,61.9,75.0,6.0,2.8,-999999999.0,-999999999.0,8.9,-999999999,-999999999.0,-999999999.0,2.9,1.5,5.8,6,34710.0,634710,2015,,
96,97,85272,71009,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,11684,63535,57878,50.9,52.3,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,60.4,51.2,63.5,5.6,5.0,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,6.4,4.5,5.2,6,34800.0,634800,2015,,
97,98,97577,74828,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,29080,52128,75164,64.2,62.8,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,64.9,62.5,76.8,3.3,3.8,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,3.6,4.0,2.8,6,34880.0,634880,2015,,
98,99,111402,72686,-999999999,-999999999,32806,-999999999,-999999999,-999999999,6572,67578,82611,61.2,60.8,-999999999.0,-999999999.0,62.2,-999999999,-999999999.0,-999999999.0,63.1,60.6,75.6,3.7,3.4,-999999999.0,-999999999.0,3.2,-999999999,-999999999.0,-999999999.0,3.4,3.5,3.8,6,35130.0,635130,2015,,
99,100,199088,104079,-999999999,-999999999,19177,-999999999,67175,-999999999,149782,24286,164665,62.0,60.1,-999999999.0,-999999999.0,53.1,-999999999,68.7,-999999999.0,64.7,55.5,71.6,5.8,5.3,-999999999.0,-999999999.0,7.0,-999999999,6.3,-999999999.0,5.1,10.8,5.6,6,35310.0,635310,2015,,
100,101,136269,58996,-999999999,-999999999,58525,-999999999,-999999999,-999999999,22800,46473,110953,66.9,62.8,-999999999.0,-999999999.0,66.8,-999999999,-999999999.0,-999999999.0,70.0,63.5,78.6,4.1,3.0,-999999999.0,-999999999.0,5.1,-999999999,-999999999.0,-999999999.0,3.3,2.9,3.8,6,35430.0,635430,2015,,
101,102,96285,73135,-999999999,-999999999,10046,-999999999,-999999999,-999999999,14150,62273,73144,64.1,64.0,-999999999.0,-999999999.0,69.2,-999999999,-999999999.0,-999999999.0,60.6,64.9,76.6,6.5,6.4,-999999999.0,-999999999.0,4.3,-999999999,-999999999.0,-999999999.0,8.7,6.1,5.8,6,35700.0,635700,2015,,
102,103,104267,84598,-999999999,-999999999,10334,-999999999,-999999999,-999999999,24817,65183,81106,64.8,64.9,-999999999.0,-999999999.0,62.1,-999999999,-999999999.0,-999999999.0,70.7,62.7,76.2,5.4,5.6,-999999999.0,-999999999.0,4.2,-999999999,-999999999.0,-999999999.0,5.9,5.7,4.9,6,36840.0,636840,2015,,
103,104,68667,24125,-999999999,-999999999,26641,-999999999,-999999999,-999999999,23247,13864,51951,64.9,61.0,-999999999.0,-999999999.0,65.2,-999999999,-999999999.0,-999999999.0,70.0,58.6,80.4,4.6,5.7,-999999999.0,-999999999.0,3.4,-999999999,-999999999.0,-999999999.0,6.8,2.5,4.0,6,37530.0,637530,2015,,
104,105,155924,84606,16392,-999999999,25218,-999999999,15066,-999999999,79634,31944,120345,47.9,46.6,48.5,-999999999.0,43.2,-999999999,51.5,-999999999.0,51.1,44.6,57.5,14.7,13.1,16.3,-999999999.0,14.7,-999999999,20.7,-999999999.0,15.8,11.5,14.0,6,38010.0,638010,2015,,
105,106,122352,59981,-999999999,-999999999,41521,-999999999,-999999999,-999999999,19823,50683,90060,60.0,58.5,-999999999.0,-999999999.0,61.0,-999999999,-999999999.0,-999999999.0,66.0,56.7,75.5,5.3,6.2,-999999999.0,-999999999.0,1.9,-999999999,-999999999.0,-999999999.0,6.0,6.4,4.4,6,39420.0,639420,2015,,
106,107,105199,58680,-999999999,-999999999,20678,-999999999,-999999999,-999999999,32139,46308,84306,66.4,64.1,-999999999.0,-999999999.0,69.4,-999999999,-999999999.0,-999999999.0,69.1,63.4,76.8,4.4,3.3,-999999999.0,-999999999.0,3.9,-999999999,-999999999.0,-999999999.0,4.7,3.6,4.0,6,40150.0,640150,2015,,
107,108,64864,44546,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,14938,37360,48138,58.6,56.6,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,64.0,55.1,72.1,7.2,6.0,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,11.4,4.9,6.4,6,40590.0,640590,2015,,
108,109,102119,44481,19123,-999999999,26583,-999999999,-999999999,-999999999,21967,30126,77495,53.7,54.3,40.2,-999999999.0,57.7,-999999999,-999999999.0,-999999999.0,62.7,50.5,64.9,10.3,8.3,21.1,-999999999.0,8.1,-999999999,-999999999.0,-999999999.0,8.2,7.7,9.7,6,40740.0,640740,2015,,
109,110,100946,85471,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,31974,62083,76518,57.8,57.2,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,61.4,55.6,70.9,6.8,7.1,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,7.1,6.7,6.5,6,40980.0,640980,2015,,
110,111,109781,86766,-999999999,-999999999,-999999999,-999999999,10396,-999999999,49617,49678,85042,51.9,51.2,-999999999.0,-999999999.0,-999999999.0,-999999999,56.2,-999999999.0,51.5,51.5,62.6,6.2,6.4,-999999999.0,-999999999.0,-999999999.0,-999999999,8.3,-999999999.0,8.2,5.0,6.2,6,41160.0,641160,2015,,
111,112,117691,94803,-999999999,-999999999,-999999999,-999999999,7663,-999999999,42283,61786,87665,61.3,61.9,-999999999.0,-999999999.0,-999999999.0,-999999999,62.5,-999999999.0,71.1,55.9,75.2,6.7,6.3,-999999999.0,-999999999.0,-999999999.0,-999999999,10.1,-999999999.0,4.6,8.2,6.2,6,41190.0,641190,2015,,
112,113,50191,36320,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,22219,21543,38568,58.9,57.3,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,60.5,58.1,70.8,8.7,9.0,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,12.5,5.4,8.3,6,43080.0,643080,2015,,
113,114,56119,37815,-999999999,-999999999,11507,-999999999,-999999999,-999999999,15290,25764,41474,48.3,48.3,-999999999.0,-999999999.0,47.6,-999999999,-999999999.0,-999999999.0,51.5,47.0,60.2,13.5,12.6,-999999999.0,-999999999.0,18.3,-999999999,-999999999.0,-999999999.0,13.6,11.0,13.4,6,43470.0,643470,2015,,
114,115,188288,88002,-999999999,-999999999,84369,-999999999,-999999999,-999999999,-999999999,77214,146481,56.7,57.7,-999999999.0,-999999999.0,55.3,-999999999,-999999999.0,-999999999.0,-999999999.0,57.3,67.2,5.1,5.9,-999999999.0,-999999999.0,3.7,-999999999,-999999999.0,-999999999.0,-999999999.0,6.5,4.9,6,84500.0,684500,2015,,
115,116,68697,26805,-999999999,-999999999,-999999999,-999999999,27189,-999999999,43380,11573,53982,55.6,54.5,-999999999.0,-999999999.0,-999999999.0,-999999999,58.6,-999999999.0,58.3,49.8,65.5,10.7,8.5,-999999999.0,-999999999.0,-999999999.0,-999999999,9.6,-999999999.0,9.2,8.9,10.2,6,91135.0,691135,2015,,
0,1,94280,21536,-999999999,-999999999,29605,-999999999,38004,-999999999,54414,7420,72625,60.5,57.7,-999999999.0,-999999999.0,60.8,-999999999,64.7,-999999999.0,63.2,51.5,74.2,8.4,8.7,-999999999.0,-999999999.0,7.5,-999999999,8.3,-999999999.0,8.8,6.4,7.6,6,,602310,2015,2310.0,
1,2,161041,119572,-999999999,-999999999,17362,-999999999,17639,-999999999,105350,33376,130994,65.7,64.5,-999999999.0,-999999999.0,65.5,-999999999,73.5,-999999999.0,68.5,56.7,76.8,6.6,6.9,-999999999.0,-999999999.0,3.6,-999999999,7.3,-999999999.0,7.6,4.2,6.1,6,,602610,2015,2610.0,
2,3,146865,114515,10663,-999999999,-999999999,-999999999,13093,-999999999,93833,37706,113489,54.3,54.1,49.0,-999999999.0,-999999999.0,-999999999,55.0,-999999999.0,57.6,46.3,64.9,13.7,12.8,14.1,-999999999.0,-999999999.0,-999999999,22.2,-999999999.0,15.2,9.5,13.2,6,,603630,2015,3630.0,
3,4,64015,13018,-999999999,-999999999,42821,-999999999,-999999999,-999999999,-999999999,9767,50104,60.1,61.9,-999999999.0,-999999999.0,58.9,-999999999,-999999999.0,-999999999.0,-999999999.0,64.0,71.7,6.7,2.2,-999999999.0,-999999999.0,7.5,-999999999,-999999999.0,-999999999.0,-999999999.0,2.0,6.4,6,,604800,2015,4800.0,
4,5,74714,61498,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,55446,14010,58556,64.4,65.2,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,69.0,49.5,75.3,6.5,5.8,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,6.0,9.3,6.6,6,,605580,2015,5580.0,
5,6,94502,66008,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,35900,38082,74443,61.2,61.5,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,62.7,59.4,70.5,8.9,7.7,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,12.0,5.2,8.8,6,,606390,2015,6390.0,
6,7,136933,108639,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,36522,84315,106100,55.6,54.6,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,60.4,53.5,67.5,9.9,8.7,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,11.2,8.4,9.0,6,,606810,2015,6810.0,
7,8,79062,48934,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,37978,63092,67.8,70.0,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999.0,68.4,79.8,3.7,3.2,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999.0,3.1,3.7,6,,607200,2015,7200.0,
8,9,233241,154445,10982,-999999999,39285,-999999999,20222,-999999999,133789,44428,181265,57.8,55.1,68.8,-999999999.0,63.1,-999999999,62.1,-999999999.0,58.1,49.8,70.7,7.4,8.1,3.2,-999999999.0,5.7,-999999999,8.9,-999999999.0,8.7,7.6,7.0,6,,608610,2015,8610.0,
9,10,113387,40004,-999999999,-999999999,65861,-999999999,-999999999,-999999999,-999999999,37420,87271,60.2,57.6,-999999999.0,-999999999.0,62.2,-999999999,-999999999.0,-999999999.0,-999999999.0,57.2,74.7,5.5,6.1,-999999999.0,-999999999.0,3.9,-999999999,-999999999.0,-999999999.0,-999999999.0,6.2,5.4,6,,610290,2015,10290.0,
10,11,61301,32814,-999999999,-999999999,-999999999,-999999999,23647,-999999999,39654,17844,47618,59.7,56.7,-999999999.0,-999999999.0,-999999999.0,-999999999,67.1,-999999999.0,65.7,48.8,72.5,6.3,6.6,-999999999.0,-999999999.0,-999999999.0,-999999999,5.2,-999999999.0,6.0,8.3,6.5,6,,611850,2015,11850.0,
11,12,65451,30177,-999999999,-999999999,24358,-999999999,-999999999,-999999999,34256,-999999999,49049,51.2,49.4,-999999999.0,-999999999.0,52.3,-999999999,-999999999.0,-999999999.0,51.5,-999999999.0,65.4,5.6,6.7,-999999999.0,-999999999.0,6.2,-999999999,-999999999.0,-999999999.0,4.8,-999999999.0,5.5,6,,612090,2015,12090.0,
12,13,60436,53884,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,49296,42460,58.6,59.6,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999.0,59.5,75.3,4.6,4.3,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999.0,4.4,4.2,6,,612750,2015,12750.0,
13,14,133637,103814,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,52235,62502,103307,60.1,59.5,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,67.4,54.5,72.4,7.8,7.6,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,7.4,7.8,7.3,6,,612880,2015,12880.0,
14,15,65697,30635,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,25277,16983,54492,62.2,66.2,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,62.6,71.3,71.9,6.6,6.0,-999999999.0,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,8.5,6.3,5.8,6,,612960,2015,12960.0,
15,16,85921,22685,-999999999,-999999999,46965,-999999999,-999999999,-999999999,21701,13512,63444,59.3,53.6,-999999999.0,-999999999.0,64.4,-999999999,-999999999.0,-999999999.0,59.3,47.4,75.0,5.6,3.6,-999999999.0,-999999999.0,5.5,-999999999,-999999999.0,-999999999.0,6.3,3.5,5.0,6,,613140,2015,13140.0,
16,17,76489,25326,-999999999,-999999999,32013,-999999999,-999999999,-999999999,30465,-999999999,61393,62.9,61.2,-999999999.0,-999999999.0,61.3,-999999999,-999999999.0,-999999999.0,66.1,-999999999.0,74.0,7.9,8.8,-999999999.0,-999999999.0,7.7,-999999999,-999999999.0,-999999999.0,8.2,-999999999.0,7.1,6,,614370,2015,14370.0,
17,18,98656,58895,-999999999,-999999999,23814,-999999999,-999999999,-999999999,31556,38055,73662,58.2,59.5,-999999999.0,-999999999.0,58.3,-999999999,-999999999.0,-999999999.0,64.0,55.6,72.0,8.2,7.5,-999999999.0,-999999999.0,2.9,-999999999,-999999999.0,-999999999.0,13.8,5.2,6.8,6,,614730,2015,14730.0,
18,19,71929,50748,-999999999,-999999999,9154,-999999999,-999999999,-999999999,17749,41212,49726,53.8,55.3,-999999999.0,-999999999.0,42.8,-999999999,-999999999.0,-999999999.0,60.9,53.0,65.1,6.1,4.5,-999999999.0,-999999999.0,14.0,-999999999,-999999999.0,-999999999.0,4.5,4.5,4.9,6,,615510,2015,15510.0,
