,Estimate!!Total!!Population 16 years and over,Estimate!!Employment/Population Ratio!!Population 16 years and over,Estimate!!Unemployment rate!!Population 16 years and over,Estimate!!Total!!Population 20 to 64 years,Estimate!!Employment/Population Ratio!!Population 20 to 64 years,Estimate!!Unemployment rate!!Population 20 to 64 years,NCESDist,year,School District Type
81,106110,60.1,5.8,78670,73.4,5.4,0632070,2018,Unified
82,62742,46.9,8.8,44667,60.7,8.4,0600017,2018,Unified
83,91963,55.0,6.5,64965,71.4,6.3,0601620,2018,Unified
84,66283,56.6,14.8,49802,71.9,14.4,0609070,2018,Unified
85,109794,61.0,3.5,78929,76.0,2.9,0609640,2018,Unified
86,218108,61.9,3.2,171166,74.1,2.9,0609850,2018,Unified
87,95139,63.1,4.8,73035,76.9,4.0,0611460,2018,Unified
88,64764,55.8,13.5,49160,67.0,13.1,0623340,2018,Unified
89,76673,60.6,4.6,57714,72.1,4.5,0625530,2018,Unified
90,776750,69.1,3.7,610916,82.4,3.3,0634410,2018,Unified
91,127715,63.4,3.9,98075,76.6,3.3,0641190,2018,Unified
92,57391,56.4,8.8,41930,70.9,8.1,0600158,2018,Unified
93,149537,48.4,6.4,99166,65.1,5.9,0629550,2018,Unified
94,105597,63.4,3.5,77559,76.4,3.2,0634880,2018,Unified
95,101485,60.6,2.3,72947,75.4,2.4,0640980,2018,Unified
96,202295,59.0,4.1,157006,69.7,3.5,0684500,2018,Unified
97,64166,66.6,2.9,49764,78.4,2.5,0600047,2018,Unified
98,115651,62.8,3.5,84122,77.7,3.7,0635130,2018,Unified
99,108282,66.5,4.8,83813,78.4,4.4,0640150,2018,Unified
100,87167,58.3,7.4,65149,72.7,6.5,0609390,2018,Unified
101,145307,61.1,4.3,112847,73.6,4.1,0616740,2018,Unified
102,79290,67.3,4.2,61515,78.8,4.1,0622110,2018,Unified
103,59163,63.6,7.0,48197,74.3,5.5,0629850,2018,Unified
104,111862,63.3,3.7,85113,75.1,3.5,0613360,2018,Unified
105,55846,39.4,9.9,38683,49.4,11.2,0625860,2018,Unified
106,52713,63.1,2.4,35795,79.8,2.6,0627720,2018,Unified
107,355658,66.3,5.3,280797,78.4,5.1,0628050,2018,Unified
108,88470,59.5,10.6,65635,71.4,10.1,0629490,2018,Unified
109,72010,56.4,3.9,49874,71.5,3.6,0629610,2018,Unified
110,92520,61.1,5.5,68136,76.0,5.7,0633750,2018,Unified
111,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,0600032,2018,Unified
112,62056,62.1,4.8,46466,76.6,4.4,0610050,2018,Unified
113,420140,63.5,5.0,336450,74.7,4.5,0622500,2018,Unified
114,167020,62.3,3.3,124157,76.1,3.3,0629940,2018,Unified
115,207033,65.7,4.8,159587,77.9,4.2,0632550,2018,Unified
116,135023,54.9,7.2,98005,69.9,6.6,0622230,2018,Unified
117,52738,63.8,3.4,39327,78.1,3.5,0625830,2018,Unified
118,215142,59.4,5.5,163204,72.9,4.6,0633150,2018,Unified
119,151285,55.8,7.3,117028,67.6,7.4,0638010,2018,Unified
120,53395,60.7,4.7,38741,77.1,4.1,0643080,2018,Unified
