,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Total!!Estimate!!Hispanic or Latino origin (of any race),"Total!!Estimate!!White alone, not Hispanic or Latino",Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Employment/Population Ratio!!Estimate!!Hispanic or Latino origin (of any race),"Employment/Population Ratio!!Estimate!!White alone, not Hispanic or Latino",Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Unemployment rate!!Estimate!!Hispanic or Latino origin (of any race),"Unemployment rate!!Estimate!!White alone, not Hispanic or Latino",Unemployment rate!!Estimate!!Population 20 to 64 years,STATE,SCHOOL DISTRICT (SECONDARY),NCESDist,year
21,462944,332321,22735,-999999999,24883,-999999999,62515,14209,228910,176026,361985,55.1,54.4,50.1,-999999999.0,56.2,-999999999.0,58.8,64.8,57.7,51.2,65.7,10.4,10.2,11.3,-999999999.0,3.9,-999999999.0,12.3,12.7,12.3,8.5,9.9,06,19540,0619540,2016
22,93297,62020,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,20423,51701,69858,58.2,58.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,64.5,57.3,71.6,7.0,6.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,7.3,5.0,5.7,06,21600,0621600,2016
23,130438,72243,5938,-999999999,14699,-999999999,33036,-999999999,66495,40774,98805,50.7,52.9,35.1,-999999999.0,52.1,-999999999.0,48.6,-999999999.0,50.1,54.2,62.3,14.3,13.0,31.1,-999999999.0,6.9,-999999999.0,17.2,-999999999.0,17.5,8.2,12.7,06,24660,0624660,2016
24,207535,152039,-999999999,-999999999,14219,-999999999,23271,7999,81655,98331,159023,55.3,55.2,-999999999.0,-999999999.0,51.3,-999999999.0,59.0,46.1,57.7,53.4,67.4,9.9,9.5,-999999999.0,-999999999.0,7.3,-999999999.0,10.5,20.8,11.4,8.5,9.6,06,25150,0625150,2016
25,91555,53544,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,47664,71612,64.4,63.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,63.7,77.8,3.8,3.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.4,3.7,06,26310,0626310,2016
26,70796,67045,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,63772,43872,45.4,45.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,46.4,62.4,5.8,5.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,5.2,6.0,06,26880,0626880,2016
27,256886,197383,7132,-999999999,19838,-999999999,21209,-999999999,144396,80298,194096,61.6,62.2,46.1,-999999999.0,54.9,-999999999.0,61.7,-999999999.0,65.6,56.5,75.3,5.2,4.7,12.6,-999999999.0,6.5,-999999999.0,7.1,-999999999.0,4.8,5.0,4.7,06,29270,0629270,2016
28,63936,49745,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,45640,44602,59.4,60.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,61.1,75.0,3.9,3.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.6,3.6,06,30250,0630250,2016
29,79028,72789,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,66904,54876,54.6,53.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,53.5,70.8,5.0,5.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.4,5.1,06,30750,0630750,2016
30,145536,112610,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,18949,102720,104631,58.8,58.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,56.1,58.3,75.2,5.0,4.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,8.1,4.0,4.1,06,33630,0633630,2016
