,Geography,Estimate!!Total!!Population 16 years and over,Estimate!!Employment/Population Ratio!!Population 16 years and over,Estimate!!Unemployment rate!!Population 16 years and over,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race),"Estimate!!Total!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino","Estimate!!Employment/Population Ratio!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino","Estimate!!Unemployment rate!!Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",Estimate!!Total!!Population 20 to 64 years,Estimate!!Employment/Population Ratio!!Population 20 to 64 years,Estimate!!Unemployment rate!!Population 20 to 64 years,NAME,STATE,SCHOOL DISTRICT (SECONDARY),District,NCESDist,year
21,9600000US0635670,115026,62.9,5.2,94889,62.6,5.6,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,71307,67.8,5.9,34741,53.7,4.3,87728,74.4,5.6,"Santa Maria Joint Union High School District, California",06,35670,Santa Maria Joint Union High School District,0635670,2018
22,9600000US0638790,95733,63.9,2.5,84897,63.2,2.6,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,80478,62.3,2.8,62202,80.9,2.4,"Tamalpais Union High School District, California",06,38790,Tamalpais Union High School District,0638790,2018
23,9600000US0699011,58345,56.4,7.7,40852,58.7,5.4,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,35760,59.4,5.0,39320,69.7,5.5,"Santa Cruz City High School District (6-12), California",06,99011,Santa Cruz City High School District (6-12),0699011,2018
24,9600000US0611820,442275,64.6,4.6,134828,62.0,4.0,11827,59.0,10.2,-999999999,-999999999.0,-999999999.0,202898,65.5,3.8,-999999999,-999999999.0,-999999999.0,72585,67.5,6.7,14486,62.3,8.0,147247,66.9,5.4,67374,57.9,4.0,342995,77.4,4.4,"East Side Union High School District, California",06,11820,East Side Union High School District,0611820,2018
25,9600000US0612070,119878,55.5,4.2,107899,55.8,3.9,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,97385,54.8,3.4,80322,72.7,4.6,"El Dorado Union High School District, California",06,12070,El Dorado Union High School District,0612070,2018
26,9600000US0625150,212514,56.3,8.1,167527,56.0,7.9,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,11505,62.3,3.6,-999999999,-999999999.0,-999999999.0,13454,59.8,14.0,-999999999,-999999999.0,-999999999.0,89377,59.7,9.7,96332,53.0,7.1,162581,68.2,8.1,"Modesto City High School District, California",06,25150,Modesto City High School District,0625150,2018
27,9600000US0634380,137213,58.9,5.5,108198,57.3,5.1,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,18022,60.0,7.4,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,13438,72.6,6.4,101446,56.8,4.9,97495,74.1,5.6,"San Dieguito Union High School District, California",06,34380,San Dieguito Union High School District,0634380,2018
28,9600000US0612120,137294,57.1,7.9,58159,56.8,10.0,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,46728,53.5,5.6,-999999999,-999999999.0,-999999999.0,20131,60.2,6.4,-999999999,-999999999.0,-999999999.0,80130,60.7,9.4,-999999999,-999999999.0,-999999999.0,103518,70.5,7.2,"El Monte Union High School District, California",06,12120,El Monte Union High School District,0612120,2018
29,9600000US0602630,319829,64.7,4.3,193631,64.8,4.7,-999999999,-999999999.0,-999999999.0,-999999999,-999999999.0,-999999999.0,69968,60.4,4.0,-999999999,-999999999.0,-999999999.0,35306,72.2,3.0,-999999999,-999999999.0,-999999999.0,156655,69.4,4.5,78312,59.1,4.3,249958,76.9,4.0,"Anaheim Union High School District, California",06,02630,Anaheim Union High School District,0602630,2018
30,9600000US0608160,342018,63.3,5.0,176630,63.6,3.9,27309,63.8,5.3,-999999999,-999999999.0,-999999999.0,31830,57.0,6.2,-999999999,-999999999.0,-999999999.0,85114,65.8,6.7,18264,58.4,5.4,187670,64.5,5.0,86364,63.1,3.9,269580,74.8,4.6,"Chaffey Joint Union High School District, California",06,08160,Chaffey Joint Union High School District,0608160,2018
