,Geography,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Total!!Estimate!!Hispanic or Latino origin (of any race),"Total!!Estimate!!White alone, not Hispanic or Latino",Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Employment/Population Ratio!!Estimate!!Hispanic or Latino origin (of any race),"Employment/Population Ratio!!Estimate!!White alone, not Hispanic or Latino",Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Unemployment rate!!Estimate!!Hispanic or Latino origin (of any race),"Unemployment rate!!Estimate!!White alone, not Hispanic or Latino",Unemployment rate!!Estimate!!Population 20 to 64 years,NAME,STATE,SCHOOL DISTRICT (SECONDARY),District,NCESDist,year
21,9600000US0619540,470576,352370,26033,-999999999,26037,-999999999,50291,10827,239023,168817,363674,53.9,53.6,49.4,-999999999.0,57.6,-999999999.0,58.1,48.6,56.9,50.3,65.2,9.4,8.4,18.9,-999999999.0,7.6,-999999999.0,12.1,13.9,9.5,8.2,8.2,"Kern High School District, California",06,19540,Kern High School District,0619540,2017
22,9600000US0621600,100287,70500,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,21218,58730,75894,61.5,61.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,62.2,60.5,74.9,5.5,4.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,7.0,4.6,5.1,"Liberty Union High School District, California",06,21600,Liberty Union High School District,0621600,2017
23,9600000US0624660,131635,80372,-999999999,-999999999,-999999999,-999999999,23991,-999999999,69512,38758,100062,50.3,51.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,58.4,-999999999.0,55.0,48.0,62.6,11.9,12.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,12.2,-999999999.0,12.6,11.8,10.2,"Merced Union High School District, California",06,24660,Merced Union High School District,0624660,2017
24,9600000US0625150,216048,165638,9410,-999999999,-999999999,-999999999,14170,-999999999,85077,98005,161653,55.8,57.1,44.9,-999999999.0,-999999999.0,-999999999.0,51.5,-999999999.0,59.2,54.6,68.8,7.9,7.0,22.6,-999999999.0,-999999999.0,-999999999.0,9.2,-999999999.0,8.7,5.9,7.3,"Modesto City High School District, California",06,25150,Modesto City High School District,0625150,2017
25,9600000US0626310,95137,53741,-999999999,-999999999,31725,-999999999,-999999999,-999999999,-999999999,45449,74359,68.2,67.9,-999999999.0,-999999999.0,66.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,65.1,80.7,3.1,3.9,-999999999.0,-999999999.0,2.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.2,3.2,"Mountain View-Los Altos Union School District, California",06,26310,Mountain View-Los Altos Union School District,0626310,2017
26,9600000US0626880,72890,68335,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,62705,44622,52.2,51.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,50.9,71.1,3.9,4.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.1,3.1,"Nevada Joint Union High School District, California",06,26880,Nevada Joint Union High School District,0626880,2017
27,9600000US0629270,263216,203499,7231,-999999999,22493,-999999999,18142,-999999999,150319,77913,202639,61.4,61.6,54.5,-999999999.0,55.0,-999999999.0,67.2,-999999999.0,65.8,55.1,74.0,6.1,6.3,6.9,-999999999.0,4.9,-999999999.0,3.2,-999999999.0,6.8,5.2,5.5,"Oxnard Union High School District, California",06,29270,Oxnard Union High School District,0629270,2017
28,9600000US0630250,62266,49968,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,45572,45180,61.2,59.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,59.4,77.0,4.5,4.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.6,4.3,"Petaluma Joint Union High School District, California",06,30250,Petaluma Joint Union High School District,0630250,2017
29,9600000US0630750,79894,73187,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,68270,53397,52.7,52.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,50.8,70.7,4.9,5.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,5.2,3.8,"Placer Union High School District, California",06,30750,Placer Union High School District,0630750,2017
30,9600000US0633630,143587,110582,-999999999,-999999999,17258,-999999999,-999999999,-999999999,-999999999,98318,105059,60.3,60.2,-999999999.0,-999999999.0,58.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,60.0,75.5,4.2,4.1,-999999999.0,-999999999.0,7.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.1,3.4,"Roseville Joint Union High School District, California",06,33630,Roseville Joint Union High School District,0633630,2017
