,Geography,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Total!!Estimate!!Hispanic or Latino origin (of any race),"Total!!Estimate!!White alone, not Hispanic or Latino",Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Employment/Population Ratio!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Employment/Population Ratio!!Estimate!!Hispanic or Latino origin (of any race),"Employment/Population Ratio!!Estimate!!White alone, not Hispanic or Latino",Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Unemployment rate!!Estimate!!Hispanic or Latino origin (of any race),"Unemployment rate!!Estimate!!White alone, not Hispanic or Latino",Unemployment rate!!Estimate!!Population 20 to 64 years,NAME,STATE,SCHOOL DISTRICT (ELEMENTARY),District,NCESDist,year
21,9500000US0615510,71578,48364,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,18946,39247,49158,57.4,59.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,62.4,58.0,69.6,8.7,5.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,14.1,4.1,8.0,"Goleta Union Elementary School District, California",06,15510,Goleta Union Elementary School District,0615510,2017
22,9500000US0616680,58978,15499,15765,-999999999,-999999999,-999999999,-999999999,-999999999,31188,-999999999,48342,64.9,60.6,60.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,69.9,-999999999.0,75.8,5.5,4.0,11.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.8,-999999999.0,5.1,"Hawthorne Elementary School District, California",06,16680,Hawthorne Elementary School District,0616680,2017
23,9500000US0618030,66978,54216,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,49652,47513,61.1,60.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,60.1,77.1,3.5,3.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.7,3.3,"Huntington Beach City Elementary School District, California",06,18030,Huntington Beach City Elementary School District,0618030,2017
24,9500000US0618870,79874,15198,-999999999,-999999999,45908,-999999999,-999999999,-999999999,20970,9361,62535,66.5,54.2,-999999999.0,-999999999.0,69.5,-999999999.0,-999999999.0,-999999999.0,72.3,47.4,80.0,4.0,8.0,-999999999.0,-999999999.0,2.8,-999999999.0,-999999999.0,-999999999.0,4.2,8.5,3.0,"Jefferson Elementary School District (San Mateo County), California",06,18870,Jefferson Elementary School District (San Mateo County),0618870,2017
25,9500000US0620250,113079,76555,-999999999,-999999999,10678,-999999999,-999999999,-999999999,30167,58195,88240,60.5,59.4,-999999999.0,-999999999.0,57.8,-999999999.0,-999999999.0,-999999999.0,68.1,56.7,71.9,7.2,5.3,-999999999.0,-999999999.0,10.9,-999999999.0,-999999999.0,-999999999.0,8.4,4.9,6.9,"La Mesa-Spring Valley School District, California",06,20250,La Mesa-Spring Valley School District,0620250,2017
26,9500000US0620880,83152,55122,13877,-999999999,-999999999,-999999999,-999999999,-999999999,30027,32377,66332,52.5,53.1,49.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,52.6,53.4,61.6,5.3,3.1,5.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.2,4.0,4.9,"Lancaster Elementary School District, California",06,20880,Lancaster Elementary School District,0620880,2017
27,9500000US0623430,52191,31649,-999999999,-999999999,9987,-999999999,-999999999,-999999999,26792,11347,40800,65.2,66.5,-999999999.0,-999999999.0,59.1,-999999999.0,-999999999.0,-999999999.0,68.9,63.8,77.9,4.8,3.2,-999999999.0,-999999999.0,7.0,-999999999.0,-999999999.0,-999999999.0,3.2,3.0,3.9,"Magnolia Elementary School District, California",06,23430,Magnolia Elementary School District,0623430,2017
28,9500000US0624540,77263,48295,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,23436,40507,57799,54.0,51.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,57.9,50.1,67.0,6.5,4.7,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,9.6,4.8,6.5,"Menifee Union School District, California",06,24540,Menifee Union School District,0624540,2017
29,9500000US0624600,63823,43825,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,33463,18165,48371,47.0,49.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,49.1,47.7,58.9,11.8,11.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,12.6,10.7,10.1,"Merced City Elementary School District, California",06,24600,Merced City Elementary School District,0624600,2017
30,9500000US0625130,90769,69378,-999999999,-999999999,-999999999,-999999999,6859,-999999999,44057,34108,69204,54.3,57.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,44.7,-999999999.0,59.5,51.9,65.8,8.9,7.9,-999999999.0,-999999999.0,-999999999.0,-999999999.0,11.2,-999999999.0,9.1,7.2,7.6,"Modesto City Elementary School District, California",06,25130,Modesto City Elementary School District,0625130,2017
31,9500000US0626280,60789,30748,-999999999,-999999999,22356,-999999999,-999999999,-999999999,-999999999,24251,50216,72.9,74.7,-999999999.0,-999999999.0,67.8,-999999999.0,-999999999.0,-999999999.0,-999999999.0,71.2,82.5,3.0,3.6,-999999999.0,-999999999.0,2.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.8,3.1,"Mountain View Whisman Elementary School District, California",06,26280,Mountain View Whisman Elementary School District,0626280,2017
32,9500000US0627180,52613,36991,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,15733,26156,38714,63.3,61.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,66.7,60.1,77.4,4.1,4.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.3,4.0,4.1,"Newhall Elementary School District, California",06,27180,Newhall Elementary School District,0627180,2017
33,9500000US0627810,93620,45872,-999999999,-999999999,22775,-999999999,-999999999,-999999999,32279,30135,76789,67.9,64.7,-999999999.0,-999999999.0,69.6,-999999999.0,-999999999.0,-999999999.0,65.2,66.5,78.6,5.1,6.7,-999999999.0,-999999999.0,4.8,-999999999.0,-999999999.0,-999999999.0,6.1,5.3,4.4,"Oak Grove Elementary School District, California",06,27810,Oak Grove Elementary School District,0627810,2017
34,9500000US0628140,86181,59253,-999999999,-999999999,11473,-999999999,-999999999,-999999999,-999999999,50288,63981,65.9,63.4,-999999999.0,-999999999.0,62.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,61.6,80.4,4.2,4.7,-999999999.0,-999999999.0,5.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,5.6,3.9,"Ocean View Elementary School District (Orange County), California",06,28140,Ocean View Elementary School District (Orange County),0628140,2017
35,9500000US0628470,140699,77973,-999999999,-999999999,10071,-999999999,40148,-999999999,99167,23009,110245,58.8,57.8,-999999999.0,-999999999.0,64.9,-999999999.0,59.0,-999999999.0,60.3,48.9,70.2,7.4,7.0,-999999999.0,-999999999.0,4.2,-999999999.0,9.0,-999999999.0,8.5,4.8,6.8,"Ontario-Montclair School District, California",06,28470,Ontario-Montclair School District,0628470,2017
36,9500000US0629220,100118,77958,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,69980,18767,77388,62.4,62.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,65.7,55.6,75.0,5.6,6.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,6.5,1.9,5.1,"Oxnard Elementary School District, California",06,29220,Oxnard Elementary School District,0629220,2017
37,9500000US0629580,97533,38022,10828,-999999999,-999999999,-999999999,38885,-999999999,61168,18965,76230,52.0,48.6,48.4,-999999999.0,-999999999.0,-999999999.0,57.5,-999999999.0,53.6,48.8,63.0,8.2,7.2,13.7,-999999999.0,-999999999.0,-999999999.0,6.1,-999999999.0,7.7,5.1,8.2,"Palmdale Elementary School District, California",06,29580,Palmdale Elementary School District,0629580,2017
38,9500000US0630990,64893,49755,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,13489,39462,45488,59.3,57.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,65.0,55.9,75.4,5.9,6.4,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.6,7.1,5.3,"Pleasant Valley Elementary School District, California",06,30990,Pleasant Valley Elementary School District,0630990,2017
39,9500000US0632130,85891,55425,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,42459,67599,69.9,67.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,66.9,81.6,1.9,2.3,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.0,1.6,"Redwood City Elementary School District, California",06,32130,Redwood City Elementary School District,0632130,2017
40,9500000US0633600,76749,60467,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,52861,54878,59.1,58.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,57.8,75.3,3.5,3.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.5,3.3,"Roseville City Elementary School District, California",06,33600,Roseville City Elementary School District,0633600,2017
41,9500000US0633930,63857,23938,-999999999,-999999999,-999999999,-999999999,31818,-999999999,42738,14536,49905,61.8,57.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,64.8,-999999999.0,65.4,49.7,73.7,4.6,6.6,-999999999.0,-999999999.0,-999999999.0,-999999999.0,3.0,-999999999.0,3.9,7.0,4.4,"Salinas City Elementary School District, California",06,33930,Salinas City Elementary School District,0633930,2017
42,9500000US0634920,111373,60106,-999999999,-999999999,34418,-999999999,-999999999,-999999999,21807,48571,83867,67.2,65.4,-999999999.0,-999999999.0,68.3,-999999999.0,-999999999.0,-999999999.0,65.9,66.1,81.5,3.5,4.4,-999999999.0,-999999999.0,1.9,-999999999.0,-999999999.0,-999999999.0,6.6,3.2,3.1,"San Mateo-Foster City Elementary School District, California",06,34920,San Mateo-Foster City Elementary School District,0634920,2017
43,9500000US0635590,60106,44388,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,38066,42942,58.5,60.5,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,64.6,69.1,9.2,9.2,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,6.4,8.5,"Santa Cruz City Elementary School District, California",06,35590,Santa Cruz City Elementary School District,0635590,2017
44,9500000US0635810,-999999999,37483,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,33136,-999999999,-999999999.0,57.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,54.9,-999999999.0,-999999999.0,3.1,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,2.9,-999999999.0,"Santa Rosa Elementary School District, California",06,35810,Santa Rosa Elementary School District,0635810,2017
