,Unnamed: 0,Estimate!!Total!!Population 16 years and over,Estimate!!Total!!Population 20 to 64 years,Estimate!!Employment/Population Ratio!!Population 16 years and over,Estimate!!Employment/Population Ratio!!Population 20 to 64 years,Estimate!!Unemployment rate!!Population 16 years and over,Estimate!!Unemployment rate!!Population 20 to 64 years,NCESDist,year,School District Type
12,13,141394,114053,62.2,72.8,5.1,4.8,628470,2019,Elementary
13,14,88149,65729,51.3,65.1,5.3,4.8,620880,2019,Elementary
14,15,42017,33021,58.7,70.7,7.3,6.6,639870,2019,Elementary
15,16,76781,65242,72.9,80.7,2.2,2.2,638460,2019,Elementary
16,17,97365,74881,64.0,77.0,5.7,6.0,602310,2019,Elementary
17,18,163233,133126,67.7,77.8,3.9,3.7,602610,2019,Elementary
18,19,253212,194207,58.2,70.4,10.2,9.1,608610,2019,Elementary
19,20,75372,60965,52.8,63.6,12.5,10.4,641040,2019,Elementary
20,21,57794,42988,49.7,62.0,5.2,5.1,642120,2019,Elementary
21,22,67832,48012,63.4,79.3,3.8,3.9,618030,2019,Elementary
22,23,78013,59214,67.5,84.3,3.6,3.5,618870,2019,Elementary
23,24,82879,62913,64.3,77.4,2.9,3.0,635970,2019,Elementary
24,25,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,638670,2019,Elementary
25,26,51834,36923,59.2,74.9,4.4,3.5,642450,2019,Elementary
26,27,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,616680,2019,Elementary
27,28,68335,53401,53.7,64.7,11.4,10.3,624600,2019,Elementary
28,29,80657,62456,68.0,81.3,2.6,2.7,632130,2019,Elementary
29,30,87944,67681,53.6,65.1,10.3,9.8,625130,2019,Elementary
30,31,72819,57164,67.3,80.0,5.7,5.5,604800,2019,Elementary
31,32,72870,55300,62.9,74.8,5.2,5.0,605580,2019,Elementary
32,33,57575,44605,61.6,75.2,3.1,3.1,611850,2019,Elementary
33,34,117638,88220,60.6,74.6,7.3,7.0,620250,2019,Elementary
34,35,58894,42991,60.6,72.3,5.5,4.1,635590,2019,Elementary
35,36,60349,47823,66.7,78.1,5.1,4.4,635810,2019,Elementary
36,37,132709,97900,59.0,72.3,3.6,3.7,612880,2019,Elementary
37,38,58080,39768,60.4,78.9,4.0,4.1,612750,2019,Elementary
38,39,72988,57546,66.0,74.5,2.7,2.8,612960,2019,Elementary
39,40,76122,55694,62.0,78.0,3.8,3.9,613140,2019,Elementary
40,41,50449,40263,62.1,72.4,4.7,4.6,623430,2019,Elementary
41,42,70381,53006,63.6,77.7,4.7,4.5,614370,2019,Elementary
42,43,95960,72728,63.0,75.9,4.9,4.7,614730,2019,Elementary
43,44,73097,48325,53.4,68.0,7.6,5.0,615510,2019,Elementary
44,45,76415,53426,53.4,71.6,7.8,5.6,624540,2019,Elementary
45,46,99469,74660,61.4,74.6,5.0,4.7,629220,2019,Elementary
46,47,96878,78286,56.7,66.3,8.3,8.3,629580,2019,Elementary
47,48,140589,104676,58.8,72.9,6.4,5.3,606810,2019,Elementary
48,49,76846,61827,67.9,80.5,2.5,2.4,607200,2019,Elementary
49,50,111391,81455,60.2,76.6,2.2,2.3,610290,2019,Elementary
50,51,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,605910,2019,Elementary
51,52,82014,59313,63.8,81.5,3.1,2.7,633600,2019,Elementary
0,1,468218,359791,55.0,66.9,7.4,6.7,619540,2019,Secondary
1,2,109418,78462,54.8,72.0,7.4,5.4,606034,2019,Secondary
2,3,292413,223546,52.0,63.7,6.4,6.2,602820,2019,Secondary
3,4,93354,60383,53.4,68.7,7.4,5.4,606019,2019,Secondary
4,5,95161,60424,56.4,76.3,4.2,3.9,601650,2019,Secondary
5,6,324683,255737,64.9,76.6,4.0,3.9,602630,2019,Secondary
6,7,182855,144318,66.5,78.8,3.0,3.1,607230,2019,Secondary
7,8,114726,93421,68.0,78.5,3.9,3.3,607920,2019,Secondary
8,9,338709,266457,64.3,75.7,4.2,4.0,608160,2019,Secondary
9,10,58894,42991,60.6,72.3,5.5,4.1,699011,2019,Secondary
10,11,64227,43518,61.7,79.6,3.3,2.3,630250,2019,Secondary
11,12,79908,54681,59.1,75.7,1.8,1.6,630750,2019,Secondary
12,13,146915,106923,62.5,79.1,3.2,2.7,633630,2019,Secondary
13,14,129762,101943,61.2,72.3,4.0,4.0,633980,2019,Secondary
14,15,139036,97916,62.0,77.8,3.2,2.9,634380,2019,Secondary
15,16,202771,149177,67.2,82.0,2.9,3.0,634980,2019,Secondary
16,17,62898,43316,61.7,79.0,5.2,5.1,635110,2019,Secondary
17,18,110574,81579,60.8,74.5,4.6,4.2,635670,2019,Secondary
18,19,168781,123579,64.6,79.2,2.7,2.1,635830,2019,Secondary
19,20,205952,157158,67.1,80.6,2.8,2.7,636390,2019,Secondary
20,21,82127,56769,55.0,72.0,4.5,4.2,636600,2019,Secondary
21,22,120240,96295,47.0,56.6,12.5,10.9,636972,2019,Secondary
22,23,397443,303270,55.8,67.5,9.6,8.6,638640,2019,Secondary
23,24,95653,64005,62.0,80.0,3.4,3.3,638790,2019,Secondary
24,25,55901,42686,57.7,70.7,6.1,5.4,639930,2019,Secondary
25,26,171938,129309,60.3,74.2,3.5,3.0,642480,2019,Secondary
26,27,208779,159685,61.2,73.5,3.6,3.4,642510,2019,Secondary
27,28,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,610860,2019,Secondary
28,29,445625,342632,65.7,79.2,4.5,4.5,611820,2019,Secondary
29,30,118439,78822,54.5,73.4,4.1,4.3,612070,2019,Secondary
30,31,142085,104678,58.3,74.0,4.4,4.3,612120,2019,Secondary
31,32,135094,99648,59.0,72.4,3.8,3.8,612910,2019,Secondary
32,33,188172,146697,65.4,78.4,2.2,2.2,614430,2019,Secondary
33,34,208709,157979,64.1,78.0,4.8,4.2,614760,2019,Secondary
34,35,391914,291009,58.5,72.7,6.6,5.8,616230,2019,Secondary
35,36,56856,43781,52.5,65.0,8.5,8.5,616500,2019,Secondary
36,37,268457,194895,62.0,77.6,4.8,4.3,618060,2019,Secondary
37,38,122050,90756,66.0,83.0,3.1,3.0,618930,2019,Secondary
38,39,99440,72255,63.0,76.9,2.9,2.7,621600,2019,Secondary
39,40,137172,106224,57.4,68.9,9.6,8.5,624660,2019,Secondary
40,41,211497,158512,55.7,69.3,7.3,6.8,625150,2019,Secondary
41,42,96912,75135,67.0,79.8,2.9,2.7,626310,2019,Secondary
42,43,74329,46552,51.5,71.1,2.1,2.4,626880,2019,Secondary
43,44,263863,197839,61.3,74.9,4.7,4.5,629270,2019,Secondary
